date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,46.6,44.2,45,45,3629,1.7467248908296984,0.9132420091324311,2.2727272727272707,0,11.080501989592895,1,4,75
2019-02-27,46,45.2,45.8,45.8,6730,-1.2875536480686733,2.262443438914019,1.777777777777767,1.777777777777767,85.45053733810968,1,4,75
2019-02-26,46,44,45.2,44.2,2069,0,-2.6548672566371723,-1.3100436681222627,-3.4934497816593746,-69.25705794947994,1,4,75
2019-02-25,47,44.8,45.6,46,7515,2.1739130434782705,1.8181818181818077,0.8849557522123908,4.072398190045234,263.21894635089416,1,4,75
2019-02-22,48.8,47,47,48.8,4678,3.8297872340425476,4.910714285714302,3.0701754385964897,6.0869565217391175,-37.75116433799069,1,4,75
2019-02-21,50,47,48,47,14180,2.459016393442637,0,2.127659574468077,-3.688524590163933,203.12099187687048,1,4,75
2019-02-20,47.2,46.6,46.8,47.2,7736,-5.599999999999994,-0.8510638297872353,-2.500000000000002,0.42553191489362874,-45.444287729196056,1,4,75
2019-02-19,47.4,47,47.2,47.2,28933,0.4237288135593209,0.8583690987124415,0.8547008547008739,0,274.00465356773526,1,4,75
2019-02-18,47.2,47,47.2,47.2,6458,-0.42194092827003704,0,0,0,-77.67946635329899,1,4,75
2019-02-15,47.2,47.2,47.2,47.2,3060,0,0.42553191489362874,0,0,-52.61690925983277,1,4,75
2019-02-14,47.4,47,47.2,47.2,32730,0.4237288135593209,-0.423728813559332,0,0,969.6078431372548,1,4,75
2019-02-13,49,46.8,47,46.8,118299,3.3755274261603407,-0.42553191489361764,-0.423728813559332,-0.8474576271186529,261.43904674610445,1,4,75
2019-02-12,46.8,45,46,46.8,225,-4.489795918367356,-3.8461538461538436,-2.127659574468088,0,-99.80980397129308,1,4,75
2019-02-11,46.8,46.4,46.8,46.6,7054,0,3.111111111111109,1.7391304347825987,-0.42735042735041473,3035.1111111111113,1,4,75
2019-02-08,47,45.8,46.6,46.8,13138,0.42735042735042583,-1.2931034482758674,-0.42735042735041473,0.42918454935620964,86.24893677346186,1,4,75
2019-02-07,46,44.8,45.6,45,6164,-2.127659574468088,-2.183406113537123,-2.145922746781115,-3.8461538461538436,-53.0826609834069,1,4,75
2019-02-06,45.8,44.2,44.8,45.8,2942,-0.43478260869566077,-1.3392857142856984,-1.7543859649122862,1.777777777777767,-52.27125243348475,1,4,75
2019-02-05,44.4,42.8,44.4,43.4,2531,-3.056768558951961,-3.167420814479649,-0.8928571428571397,-5.2401746724890845,-13.97008837525493,1,4,75
2019-02-04,43.8,41.8,43.8,41.8,2269,-1.3513513513513598,-2.336448598130836,-1.3513513513513598,-3.686635944700467,-10.351639668115364,1,4,75
2019-02-01,44,42.6,43.6,44,883,0.4566210045662267,1.9138755980861344,-0.45662100456620447,5.2631578947368585,-61.08417805200529,1,4,75
2019-01-31,43.8,41.8,43.8,41.8,2087,-0.454545454545463,-1.8779342723004744,0.4587155963302614,-5.000000000000004,136.3533408833522,1,4,75
2019-01-30,43,41.8,43,43,308,-1.826484018264829,0,-1.826484018264829,2.8708133971292016,-85.24197412553906,1,4,75
2019-01-29,43.6,40.6,42.6,43.6,5065,1.3953488372093092,-2.8708133971291794,-0.9302325581395321,1.3953488372093092,1544.4805194805194,1,4,75
2019-01-28,43.8,41.6,43.8,43.2,2823,0.4587155963302614,2.4630541871921263,2.8169014084507005,-0.917431192660545,-44.264560710760115,1,4,75
2019-01-25,43.8,41.4,43.2,41.8,4842,0,-0.48076923076924016,-1.3698630136986134,-3.240740740740755,71.51965993623803,1,4,75
2019-01-24,42.6,41,42.6,41.8,2790,-2.739726027397249,-0.9661835748792202,-1.388888888888895,0,-42.37918215613383,1,4,75
2019-01-23,41.4,40.6,41.2,41.4,660,-2.8169014084507116,-0.9756097560975618,-3.2863849765258135,-0.9569377990430561,-76.34408602150538,1,4,75
2019-01-22,41.6,41.6,41.6,41.6,48,0.48309178743961567,2.4630541871921263,0.9708737864077666,0.48309178743961567,-92.72727272727272,1,4,75
2019-01-21,41.8,41.4,41.6,41.8,444,0.48076923076922906,-0.48076923076924016,0,0.48076923076922906,825,1,4,75
2019-01-18,41.8,40,41.8,40,1139,0,-3.3816425120772875,0.48076923076922906,-4.306220095693769,156.53153153153153,1,4,75
2019-01-17,41.2,40.4,41.2,40.6,2500,-1.4354066985645786,1.0000000000000009,-1.4354066985645786,1.5000000000000124,119.49078138718173,1,4,75
2019-01-16,41.8,41,41.8,41,20,1.4563106796116276,1.4851485148514865,1.4563106796116276,0.9852216748768461,-99.2,1,4,75
2019-01-15,41.6,41.4,41.4,41.4,2935,-0.4784688995215225,0.9756097560975618,-0.9569377990430561,0.9756097560975618,14575,1,4,75
2019-01-14,41.6,40.4,41.6,41.6,182,0,-2.4154589371980673,0.48309178743961567,0.48309178743961567,-93.79897785349233,1,4,75
2019-01-11,41,40,41,40.6,342,-1.4423076923076983,-0.990099009900991,-1.4423076923076983,-2.4038461538461564,87.91208791208791,1,4,75
2019-01-10,42,40.6,40.6,40.8,2428,2.4390243902439046,1.5000000000000124,-0.9756097560975618,0.49261083743841194,609.9415204678363,1,4,75
2019-01-09,41.8,39.8,41.4,40,1771,-0.4761904761904856,-1.9704433497537033,1.9704433497536922,-1.9607843137254832,-27.059308072487642,1,4,75
2019-01-08,41,40,40,41,215,-1.9138755980861122,0.5025125628140836,-3.3816425120772875,2.499999999999991,-87.85996612083568,1,4,75
2019-01-07,40.4,40,40,40.4,270,-1.4634146341463428,0,0,-1.4634146341463428,25.581395348837212,1,4,75
2019-01-04,41.8,40.2,40.4,41,629,3.4653465346534684,0.5000000000000115,1.0000000000000009,1.4851485148514865,132.96296296296296,1,4,75
2019-01-03,41.6,40.8,40.8,41.6,86,-0.4784688995215225,1.492537313432818,0.990099009900991,1.4634146341463428,-86.32750397456279,1,4,75
2019-01-02,40.8,40,40.8,40.8,501,-1.9230769230769384,-1.9607843137254832,0,-1.9230769230769384,482.5581395348837,1,4,75
2018-12-28,40,39.8,40,39.8,1200,-1.9607843137254832,-0.5000000000000115,-1.9607843137254832,-2.450980392156865,139.5209580838323,1,4,75
2018-12-27,41,39.8,39.8,41,12858,2.499999999999991,0,-0.5000000000000115,3.015075376884435,971.5,1,4,75
2018-12-21,41.6,39.2,40.4,40.6,2073,1.4634146341463428,-1.5075376884421954,1.5075376884422065,-0.9756097560975618,-83.87774148390108,1,4,75
2018-12-20,40.6,38,40.6,38,932,-2.4038461538461564,-3.0612244897959218,0.4950495049504955,-6.403940886699511,-55.04100337674868,1,4,75
2018-12-19,38.8,38,38.8,38.4,1035,-4.4334975369458185,0,-4.4334975369458185,1.0526315789473717,11.051502145922743,1,4,75
2018-12-18,39.8,37.4,37.6,37.4,2862,2.577319587628857,-1.5789473684210575,-3.092783505154628,-2.604166666666663,176.52173913043478,1,4,75
2018-12-17,39.2,37,38,38.8,1461,-1.5075376884421954,-1.0695187165775333,1.0638297872340496,3.743315508021383,-48.9517819706499,1,4,75
2018-12-14,40,38.2,39.4,40,791,2.0408163265306145,3.2432432432432545,3.6842105263157787,3.0927835051546504,-45.85900068446269,1,4,75
2018-12-13,40,40,40,40,19849,0,4.712041884816753,1.522842639593902,0,2409.355246523388,1,4,75
2018-12-12,40.8,40,40,40.8,1101,2.0000000000000018,0,0,2.0000000000000018,-94.45312106403345,1,4,75
2018-12-11,40.2,40,40,40,4457,-1.4705882352941013,0,0,-1.9607843137254832,304.81380563124435,1,4,75
2018-12-10,40,37,40,40,3967,-0.4975124378109541,-7.499999999999996,0,0,-10.993942113529275,1,4,75
2018-12-07,40.6,38.8,40.4,40.2,9023,1.5000000000000124,4.86486486486486,1.0000000000000009,0.5000000000000115,127.45147466599445,1,4,75
2018-12-06,40.8,37.6,40.6,40.8,4409,0.49261083743841194,-3.092783505154628,0.4950495049504955,1.492537313432818,-51.1359858140308,1,4,75
2018-12-05,40.8,39.8,40,40.8,10910,0,5.8510638297872175,-1.4778325123152691,0,147.44840099795874,1,4,75
2018-12-04,42,40,40.8,42,2660,2.941176470588247,0.5025125628140836,2.0000000000000018,2.941176470588247,-75.61869844179651,1,4,75
2018-12-03,40.6,39.8,39.8,40.4,4874,-3.3333333333333326,-0.5000000000000115,-2.450980392156865,-3.809523809523818,83.23308270676692,1,4,75
2018-11-30,42.4,40.4,40.4,42.4,6666,4.433497536945796,1.5075376884422065,1.5075376884422065,4.950495049504955,36.76651620845301,1,4,75
2018-11-29,42.4,40.2,42.4,41,3951,0,-0.4950495049504844,4.950495049504955,-3.301886792452824,-40.72907290729073,1,4,75
2018-11-28,42.6,40.2,41.6,42.6,4845,0.4716981132075526,0,-1.8867924528301772,3.9024390243902474,22.627182991647675,1,4,75
2018-11-27,45.6,43.4,43.4,44,3971,7.042253521126751,7.96019900497511,4.3269230769230616,3.2863849765258246,-18.039215686274513,1,4,75
2018-11-26,43.2,42.4,43.2,42.4,2171,-5.263157894736836,-2.304147465437789,-0.4608294930875445,-3.6363636363636376,-45.328632586250315,1,4,75
2018-11-23,43.2,41.2,42.4,41.2,677,0,-2.8301886792452713,-1.85185185185186,-2.8301886792452713,-68.81621372639337,1,4,75
2018-11-22,43.2,42.4,43,43.2,827,0,2.9126213592232997,1.4150943396226356,4.854368932038833,22.15657311669128,1,4,75
2018-11-21,43.2,42.4,43.2,43.2,3796,0,0,0.46511627906977715,0,359.00846432889966,1,4,75
2018-11-20,47.6,42,44,47.6,2977,10.185185185185187,-0.9433962264150941,1.8518518518518379,10.185185185185187,-21.575342465753423,1,4,75
2018-11-19,47.8,47.2,47.6,47.2,292,0.42016806722688926,12.380952380952381,8.18181818181818,-0.8403361344537785,-90.19146792072557,1,4,75
2018-11-16,50,46.6,47.2,50,2365,4.602510460251041,-1.2711864406779738,-0.8403361344537785,5.932203389830493,709.9315068493152,1,4,75
2018-11-15,50,49.2,50,49.2,13366,0,5.579399141630903,5.932203389830493,-1.5999999999999903,465.1585623678647,1,4,75
2018-11-14,49.8,48.2,49.4,49,8144,-0.40000000000000036,-2.0325203252032464,-1.200000000000001,-0.40650406504065817,-39.06928026335478,1,4,75
2018-11-13,49.8,48,49,49,2220,0,-0.4149377593361092,-0.8097165991902799,0,-72.74066797642436,1,4,75
2018-11-12,50,48.8,49.8,49.8,16174,0.40160642570281624,1.6666666666666607,1.6326530612244872,1.6326530612244872,628.5585585585585,1,4,75
2018-11-09,49.8,48,49.6,48,9588,-0.40000000000000036,-1.6393442622950727,-0.40160642570280514,-3.6144578313252906,-40.7196735501422,1,4,75
2018-11-08,47.8,46.2,47.8,46.4,3257,-4.016064257028118,-3.749999999999998,-3.629032258064524,-3.3333333333333326,-66.03045473508553,1,4,75
2018-11-07,47,46.8,47,47,3103,-1.67364016736401,1.298701298701288,-1.67364016736401,1.2931034482758674,-4.728277556033156,1,4,75
2018-11-06,47.2,46.4,47,46.4,3482,0.42553191489362874,-0.8547008547008517,0,-1.276595744680853,12.213986464711567,1,4,75
2018-11-05,47,45.8,46.6,46.4,9796,-0.423728813559332,-1.2931034482758674,-0.8510638297872353,0,181.33256748994833,1,4,75
2018-11-02,47,46.2,46.8,47,3273,0,0.8733624454148492,0.42918454935620964,1.2931034482758674,-66.58840342997141,1,4,75
2018-11-01,47,45.8,47,45.8,6345,0,-0.8658008658008809,0.42735042735042583,-2.553191489361706,93.85884509624198,1,4,75
2018-10-31,45.8,44.4,45.8,44.6,15688,-2.553191489361706,-3.056768558951961,-2.553191489361706,-2.6200873362445365,147.24980299448384,1,4,75
2018-10-30,44.6,43.6,44.6,44,6348,-2.6200873362445365,-1.8018018018017945,-2.6200873362445365,-1.3452914798206317,-59.535951045385005,1,4,75
2018-10-29,45,43.8,44.4,45,4935,0.8968609865470878,0.4587155963302614,-0.4484304932735439,2.2727272727272707,-22.258979206049144,1,4,75
2018-10-26,45.2,44.4,45,45.2,18866,0.4444444444444473,1.3698630136986356,1.3513513513513598,0.4444444444444473,282.2897669706181,1,4,75
2018-10-25,45.8,44.4,44.4,45.8,3172,1.327433628318575,0,-1.333333333333342,1.327433628318575,-83.18668504187427,1,4,75
2018-10-24,45.8,41.8,45,42,5216,0,-5.855855855855863,1.3513513513513598,-8.296943231441045,64.43883984867591,1,4,75
2018-10-23,46,41.8,41.8,46,1693,0.4366812227074357,0,-7.1111111111111125,9.523809523809534,-67.54217791411044,1,4,75
2018-10-22,46,44.8,45.8,45,5378,0,7.177033492822971,9.569377990430628,-2.1739130434782594,217.66095688127584,1,4,75
2018-10-19,44.8,43,44.8,43.2,4054,-2.60869565217392,-4.01785714285714,-2.183406113537123,-3.9999999999999925,-24.61881740423949,1,4,75
2018-10-18,44.6,43,43.2,43,5961,-0.44642857142855874,0,-3.5714285714285587,-0.462962962962965,47.0399605328071,1,4,75
2018-10-17,44,43,43,44,866,-1.3452914798206317,0,-0.462962962962965,2.3255813953488413,-85.47223620197954,1,4,75
2018-10-16,45,43.6,43.6,44.4,7452,2.2727272727272707,1.3953488372093092,1.3953488372093092,0.9090909090909038,760.5080831408776,1,4,75
2018-10-15,44.2,41.6,43.8,41.6,27688,-1.777777777777767,-4.587155963302747,0.4587155963302614,-6.306306306306297,271.5512614063339,1,4,75
