date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,8.9,8.64,8.64,8.85,12326,-9.183673469387754,-1.8181818181818188,-5.573770491803276,-0.43874451569354544,-48.216611351510316,4,4,77
2019-02-27,8.9,8.751,8.9,8.899,3565,0,1.284722222222201,3.009259259259256,0.5536723163841684,-71.07739737141003,4,4,77
2019-02-26,9.1,8.821,8.9,8.9,11019,2.2471910112359383,0.7999085818763518,0,0.011237217664916699,209.0883590462833,4,4,77
2019-02-25,8.999,8.815,8.992,8.999,8051,-1.1098901098900993,-0.06801949892302206,1.0337078651685427,1.1123595505617923,-26.935293583809784,4,4,77
2019-02-22,9.26,8.853,8.999,9.26,13415,2.9003222580286536,0.4310833806012493,0.07784697508896876,2.9003222580286536,66.62526394236741,4,4,77
2019-02-21,9.2,8.9,9.194,9,44355,-0.6479481641468721,0.5308934824353351,2.1669074341593486,-2.8077753779697567,230.63734625419306,4,4,77
2019-02-20,9.199,8.999,9,9.199,9126,-0.010869565217386246,1.1123595505617923,-2.110071785947365,2.2111111111111192,-79.42509299966181,4,4,77
2019-02-19,9.199,8.801,8.999,8.994,33364,0,-2.2002444716079594,-0.011111111111106187,-2.2285030981628484,265.5928117466579,4,4,77
2019-02-18,9.2,8.75,8.994,9.12,9474,0.010870746820290655,-0.5794796045903938,-0.05556172908102175,1.4009339559706513,-71.60412420573073,4,4,77
2019-02-15,9.189,8.7,9.12,8.987,13486,-0.11956521739129311,-0.5714285714285783,1.4009339559706513,-1.4583333333333282,42.34747730631201,4,4,77
2019-02-14,9.22,8.901,8.987,9.179,26913,0.337359886821198,2.310344827586208,-1.4583333333333282,2.136419272282186,99.56250926887142,4,4,77
2019-02-13,9.26,8.741,9.179,9.201,35847,0.433839479392617,-1.7975508369846072,2.136419272282186,0.2396775247848426,33.195853305094204,4,4,77
2019-02-12,9.305,8.901,9.151,9.27,15738,0.4859611231101457,1.8304541814437636,-0.30504412245343504,0.7499184871209597,-56.09674449744748,4,4,77
2019-02-11,9.305,8.701,9.2,9.305,27971,0,-2.246938546230748,0.535460605398308,0.3775620280474623,77.72906341339434,4,4,77
2019-02-08,9.31,8.65,9.099,9.2,27223,0.053734551316497736,-0.5861395241926193,-1.0978260869565104,-1.1284255776464303,-2.6741982767866768,4,4,77
2019-02-07,9.88,9,9.2,9.88,93317,6.1224489795918435,4.046242774566466,1.1100120892405752,7.391304347826111,242.78734893288765,4,4,77
2019-02-06,9.84,9.5,9.799,9.82,10094,-0.4048582995951455,5.555555555555558,6.510869565217403,-0.6072874493927127,-89.18310704373266,4,4,77
2019-02-05,10.15,9.5,9.8,9.709,23289,3.1504065040650397,0,0.010205122971740366,-1.1303462321792357,130.72122052704577,4,4,77
2019-02-04,9.75,8.42,9.708,9.75,42423,-3.9408866995073955,-11.368421052631582,-0.9387755102040818,0.4222885982078539,82.15895916527116,4,4,77
2019-02-01,10.19,9.621,9.988,10.19,14887,4.5128205128205146,14.263657957244668,2.8842192006592438,4.5128205128205146,-64.90818659689319,4,4,77
2019-01-31,10.218,10,10.16,10.18,37420,0.27477919528950956,3.9392994491217026,1.7220664797757301,-0.09813542688910104,151.36024719553976,4,4,77
2019-01-30,10.2,9.682,10.18,9.85,68054,-0.17615971814445297,-3.179999999999994,0.19685039370078705,-3.241650294695486,81.86531266702298,4,4,77
2019-01-29,9.85,9.521,9.665,9.85,17550,-3.4313725490196068,-1.662879570336706,-5.058939096267201,0,-74.21165545008375,4,4,77
2019-01-28,10,9.61,9.869,10,19955,1.522842639593902,0.9347757588488381,2.110708742886702,1.522842639593902,13.703703703703706,4,4,77
2019-01-25,10.01,9.6,10.01,9.718,47153,0.09999999999998899,-0.10405827263266776,1.428716181983991,-2.8200000000000003,136.2966675018792,4,4,77
2019-01-24,9.72,9.6,9.718,9.719,10997,-2.897102897102888,0,-2.917082917082914,0.010290183165251321,-76.67804805632727,4,4,77
2019-01-23,9.719,9.35,9.705,9.719,17616,-0.010288065843633287,-2.604166666666663,-0.1337723811483782,0,60.1891424934073,4,4,77
2019-01-22,10.198,9.5,9.56,9.698,59637,4.928490585451195,1.6042780748663166,-1.4940752189592899,-0.21607161230577931,238.53882833787466,4,4,77
2019-01-21,9.7,9.199,9.699,9.699,65871,-4.88331045303002,-3.168421052631576,1.4539748953974918,0.010311404413276826,10.453242114794502,4,4,77
2019-01-18,10.306,9.55,9.897,10.306,105043,6.247422680412362,3.8156321339276156,2.041447571914645,6.258377152283723,59.467747567214715,4,4,77
2019-01-17,10.2,9.003,10,9.3,187003,-1.0285270716087758,-5.727748691099476,1.0407194099221861,-9.761304094702105,78.02518968422456,4,4,77
2019-01-16,9,8.5,8.799,8.849,232114,-11.764705882352933,-5.587026546706653,-12.010000000000009,-4.849462365591406,24.12314240948006,4,4,77
2019-01-15,8.8,8.303,8.69,8.42,311486,-2.2222222222222143,-2.3176470588235243,-1.238777133765201,-4.848005424341739,34.19526611923451,4,4,77
2019-01-14,8.481,8.301,8.398,8.481,13431,-3.6250000000000115,-0.02408767915211829,-3.3601841196777893,0.7244655581947645,-95.68808871024702,4,4,77
2019-01-11,8.5,8.305,8.48,8.5,27665,0.22403018511967243,0.04818696542585599,0.9764229578471229,0.22403018511967243,105.97870597870597,4,4,77
2019-01-10,8.5,8.38,8.5,8.38,10483,0,0.9030704394942912,0.2358490566037652,-1.4117647058823457,-62.10735586481113,4,4,77
2019-01-09,8.5,8.32,8.478,8.5,25660,0,-0.7159904534606243,-0.2588235294117669,1.4319809069212264,144.77725841839168,4,4,77
2019-01-08,8.6,8.181,8.5,8.6,46785,1.17647058823529,-1.6706730769230904,0.25949516395376016,1.17647058823529,82.3265783320343,4,4,77
2019-01-07,8.899,8.5,8.571,8.5,16261,3.47674418604651,3.8992788167705683,0.8352941176470452,-1.1627906976744096,-65.24313348295394,4,4,77
2019-01-04,8.7,8.275,8.5,8.275,41584,-2.2362063153163247,-2.6470588235294024,-0.8283747520709372,-2.6470588235294024,155.7284299858557,4,4,77
2019-01-03,8.259,8.111,8.258,8.15,5990,-5.068965517241364,-1.9818731117824728,-2.8470588235294247,-1.5105740181268867,-85.59542131589073,4,4,77
2019-01-02,8.51,8,8.151,8.254,19769,3.039108850950467,-1.3685118974232635,-1.2957132477597444,1.27607361963189,230.03338898163608,4,4,77
2018-12-28,8.4,8,8.279,8.4,39060,-1.2925969447708519,0,1.570359465096316,1.76883935061789,97.58207294248571,4,4,77
2018-12-27,8.503,8.171,8.399,8.503,19538,1.2261904761904807,2.137499999999992,1.4494504167169797,1.2261904761904807,-49.97951868919611,4,4,77
2018-12-21,8.58,8.4,8.511,8.5,148432,0.9055627425614388,2.802594541671777,1.3334920823907526,-0.03528166529460641,659.7092844712868,4,4,77
2018-12-20,8.73,8.4,8.5,8.73,19556,1.7482517482517501,0,-0.12924450710843916,2.70588235294118,-86.82494340842946,4,4,77
2018-12-19,8.894,8.4,8.799,8.894,31828,1.8785796105383668,0,3.5176470588235143,1.8785796105383668,62.75311924728983,4,4,77
2018-12-18,8.893,8.26,8.893,8.4,76977,-0.011243534967386726,-1.6666666666666718,1.0683032162745798,-5.554306273892506,141.85308533366845,4,4,77
2018-12-17,9.249,8.2,8.4,9.249,79761,4.003148543798485,-0.7263922518159882,-5.543686045204099,10.10714285714287,3.6166647180326583,4,4,77
2018-12-14,8.89,8.43,8.65,8.89,33730,-3.881500702778673,2.8048780487804903,2.9761904761904656,-3.881500702778673,-57.71116209676408,4,4,77
2018-12-13,9.499,8.6,8.89,9.2,73694,6.850393700787394,2.016607354685651,2.774566473988438,3.487064116985361,118.48206344500443,4,4,77
2018-12-12,9.348,8.53,9.001,8.95,128044,-1.589641014843668,-0.8139534883720989,1.248593925759267,-2.717391304347827,73.7509159497381,4,4,77
2018-12-11,8.948,8.4,8.861,8.947,30814,-4.278990158322637,-1.5240328253223745,-1.5553827352516203,-0.03351955307262511,-75.93483490050295,4,4,77
2018-12-10,9.25,8.4,8.949,9.25,43568,3.375055878408584,0,0.9931159011398183,3.3866100368838747,41.39027714675147,4,4,77
2018-12-07,8.98,7.98,8.75,8.001,144038,-2.9189189189189113,-5.000000000000004,-2.2237121466085585,-13.502702702702706,230.60503121557105,4,4,77
2018-12-06,8.949,8.21,8.3,8.741,223436,-0.3452115812917711,2.8822055137844638,-5.142857142857138,9.248843894513193,55.122953665005056,4,4,77
2018-12-05,8.948,7.95,8.74,8.948,383092,-0.011174432897520514,-3.166869671132777,5.301204819277094,2.3681500972428937,71.45491326375337,4,4,77
2018-12-04,9.92,8.7,8.948,9.92,267646,10.86276262852033,9.433962264150942,2.3798627002288297,10.86276262852033,-30.1353199753584,4,4,77
2018-12-03,11.18,9.8,9.885,10.9,517323,12.7016129032258,12.643678160919558,10.471613768439859,9.879032258064523,93.28628113254074,4,4,77
2018-11-30,12,10.5,10.9,10.8,411913,7.3345259391770945,7.14285714285714,10.268082953970659,-0.917431192660545,-20.376051325767463,4,4,77
2018-11-29,11.25,10.042,10.6,11.25,315087,-6.25,-4.361904761904767,-2.752293577981657,4.166666666666652,-23.506420045009502,4,4,77
2018-11-28,12,9.424,11,12,1755715,6.666666666666665,-6.154152559251147,3.7735849056603765,6.666666666666665,457.2159435330559,4,4,77
