date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,3,2.83,2.83,3,12794,-1.6393442622950727,11.41732283464567,-7.213114754098349,0.6711409395973256,-79.45827914519211,4,4,78
2019-02-27,2.93,2.76,2.93,2.85,30652,-2.3333333333333317,-2.473498233215554,3.5335689045936425,-4.999999999999993,139.58105361888386,4,4,78
2019-02-26,2.95,2.8,2.93,2.95,16263,0.6825938566553003,1.449275362318847,0,3.5087719298245723,-46.9431032232807,4,4,78
2019-02-25,3.09,2.91,3.01,2.93,62867,4.745762711864399,3.928571428571437,2.7303754266211566,-0.6779661016949157,286.56459447826353,4,4,78
2019-02-22,3.06,2.53,2.93,2.77,52610,-0.9708737864077555,-13.058419243986263,-2.6578073089700838,-5.460750853242324,-16.315395994719005,4,4,78
2019-02-21,3.02,2.04,2.77,3.02,642492,-1.3071895424836666,-19.367588932806314,-5.460750853242324,9.025270758122739,1121.2355065576887,4,4,78
2019-02-20,3.24,3,3.1,3.15,115839,7.284768211920545,47.058823529411754,11.913357400722013,4.304635761589393,-81.97035916400516,4,4,78
2019-02-19,3.39,3.01,3.15,3.1,146566,4.629629629629628,0.3333333333333188,1.6129032258064502,-1.5873015873015817,26.525608819136902,4,4,78
2019-02-18,3.1,2.89,3.05,3,32011,-8.55457227138643,-3.9867109634551423,-3.1746031746031744,-3.2258064516129115,-78.15932753844685,4,4,78
2019-02-15,3.18,2.87,3.07,3.18,60970,2.580645161290329,-0.692041522491349,0.6557377049180246,6.000000000000005,90.46577738902253,4,4,78
2019-02-14,3,2.85,3,2.91,169072,-5.660377358490576,-0.6968641114982632,-2.280130293159599,-8.490566037735848,177.30359193045763,4,4,78
2019-02-13,3,2.74,2.9,2.89,139116,0,-3.8596491228070184,-3.3333333333333326,-0.6872852233676952,-17.71789533453203,4,4,78
2019-02-12,2.9,2.72,2.9,2.72,22826,-3.3333333333333326,-0.7299270072992692,0,-5.882352941176472,-83.59211018143132,4,4,78
2019-02-11,2.9,2.6,2.72,2.9,45203,0,-4.4117647058823595,-6.206896551724128,6.617647058823528,98.0329448874091,4,4,78
2019-02-08,2.98,2.68,2.8,2.98,101499,2.758620689655178,3.076923076923088,2.941176470588225,2.758620689655178,124.54040661018072,4,4,78
2019-02-07,2.82,2.55,2.82,2.78,53137,-5.369127516778526,-4.850746268656724,0.7142857142857117,-6.711409395973156,-47.64776007645396,4,4,78
2019-02-06,2.9,2.76,2.76,2.9,10795,2.8368794326241176,8.23529411764705,-2.127659574468088,4.316546762589923,-79.68458889286185,4,4,78
2019-02-05,2.95,2.79,2.86,2.9,45957,1.7241379310344973,1.0869565217391353,3.6231884057970953,0,325.72487262621587,4,4,78
2019-02-04,3,2.85,2.87,3,9239,1.6949152542372836,2.1505376344086002,0.34965034965035446,3.4482758620689724,-79.89642491894597,4,4,78
2019-02-01,3.14,2.83,2.99,2.83,20334,4.666666666666663,-0.7017543859649145,4.181184668989557,-5.666666666666664,120.08875419417686,4,4,78
2019-01-31,3,2.71,2.94,3,21743,-4.458598726114649,-4.240282685512375,-1.6722408026755953,6.0070671378091856,6.929281007180088,4,4,78
2019-01-30,3.18,2.9,2.9,3.18,21525,6.000000000000005,7.011070110701101,-1.3605442176870763,6.000000000000005,-1.0026215333670652,4,4,78
2019-01-29,3.1,2.87,2.98,2.95,118481,-2.515723270440251,-1.0344827586206806,2.758620689655178,-7.232704402515722,450.43437862950054,4,4,78
2019-01-28,2.95,2.75,2.9,2.93,64679,-4.8387096774193505,-4.181184668989546,-2.684563758389269,-0.6779661016949157,-45.40981254378339,4,4,78
2019-01-25,2.9,2.75,2.9,2.75,51869,-1.6949152542372947,0,0,-6.1433447098976135,-19.805501012693462,4,4,78
2019-01-24,2.9,2.74,2.79,2.74,76888,0,-0.3636363636363549,-3.7931034482758585,-0.3636363636363549,48.234976575603916,4,4,78
2019-01-23,2.78,2.59,2.75,2.62,84364,-4.137931034482767,-5.474452554744536,-1.4336917562724039,-4.379562043795627,9.723233794610353,4,4,78
