date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,21.75,21.1,21.35,21.1,24040,0.694444444444442,0.23752969121140222,-0.6976744186046435,-0.4716981132075415,-21.102723990810635,4,2,78
2019-02-27,21.7,21.2,21.25,21.7,26371,-0.22988505747126853,0.4739336492890933,-0.4683840749414636,2.843601895734582,9.696339434276213,4,2,78
2019-02-26,21.7,21.25,21.55,21.25,28559,0,0.2358490566037874,1.4117647058823568,-2.073732718894006,8.296992908877176,4,2,78
2019-02-25,22.25,21.3,21.3,21.8,23204,2.5345622119815614,0.23529411764706687,-1.1600928074245953,2.5882352941176467,-18.75065653559298,4,2,78
2019-02-22,22.05,21.25,21.8,22.05,74264,-0.8988764044943753,-0.23474178403756207,2.3474178403755763,1.1467889908256979,220.0482675400793,4,2,78
2019-02-21,23.1,21.5,22.15,23.1,94599,4.761904761904767,1.17647058823529,1.6055045871559592,4.761904761904767,27.382042443175703,4,2,78
2019-02-20,23.9,22.5,22.8,23.7,96711,3.463203463203457,4.651162790697683,2.934537246049662,2.5974025974025983,2.232581739764683,4,2,78
2019-02-19,24.25,23.6,24.25,23.6,23668,1.4644351464435212,4.888888888888898,6.359649122807021,-0.42194092827003704,-75.52708585372915,4,2,78
2019-02-18,24.4,22.65,24.05,23.55,45099,0.6185567010309256,-4.025423728813571,-0.8247422680412342,-0.21186440677966045,90.5484198073348,4,2,78
2019-02-15,23.65,22.5,23.5,23.3,80321,-3.0737704918032738,-0.6622516556291314,-2.2869022869022926,-1.0615711252653925,78.09929266724318,4,2,78
2019-02-14,25,22.75,23.45,25,88284,5.708245243128962,1.1111111111111072,-0.21276595744681437,7.296137339055786,9.91397019459419,4,2,78
2019-02-13,26.85,24.2,24.8,24.55,77840,7.400000000000007,6.373626373626373,5.756929637526653,-1.8000000000000016,-11.830003171582614,4,2,78
2019-02-12,24.75,23.5,24.5,23.8,40736,-7.8212290502793325,-2.892561983471076,-1.2096774193548376,-3.054989816700615,-47.66700924974307,4,2,78
2019-02-11,23.95,23.2,23.8,23.8,29092,-3.232323232323231,-1.276595744680853,-2.857142857142858,0,-28.5840534171249,4,2,78
2019-02-08,24.65,23.05,23.6,24.65,56693,2.9227557411273475,-0.6465517241379226,-0.8403361344537785,3.5714285714285587,94.87487969201156,4,2,78
2019-02-07,24.75,23.6,23.6,24.15,17168,0.40567951318459805,2.386117136659438,0,-2.0283975659229236,-69.71760182033056,4,2,78
2019-02-06,24.75,23.3,23.35,24.75,31269,0,-1.2711864406779738,-1.0593220338983023,2.4844720496894457,82.13536812674744,4,2,78
2019-02-05,24.5,23.15,23.7,23.4,35206,-1.0101010101010055,-0.6437768240343478,1.498929336188426,-5.454545454545457,12.590744827145105,4,2,78
2019-02-04,24,23.1,23.55,23.4,33660,-2.0408163265306145,-0.21598272138227959,-0.6329113924050556,0,-4.391296938021927,4,2,78
2019-02-01,25,23.15,23.5,24.25,135077,4.166666666666674,0.21645021645020357,-0.2123142250530785,3.6324786324786418,301.2982768865122,4,2,78
