date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,0.48,0.403,0.459,0.451,121217,4.575163398692794,-5.399061032863839,0.21834061135370675,-1.5283842794759805,-16.611403098428767,6,5,88
2019-02-27,0.475,0.445,0.445,0.475,114152,-1.041666666666663,10.421836228287829,-3.0501089324618813,5.3215077605321515,-5.82839040728611,6,5,88
2019-02-26,0.498,0.445,0.475,0.473,95226,4.842105263157892,0,6.741573033707859,-0.42105263157894424,-16.579648188380403,6,5,88
2019-02-25,0.48,0.465,0.478,0.465,58181,-3.6144578313253017,4.494382022471921,0.6315789473684275,-1.6913319238900493,-38.90219057820343,6,5,88
2019-02-22,0.51,0.45,0.465,0.497,409045,6.25,-3.2258064516129115,-2.7196652719665204,6.88172043010753,603.0559804747254,6,5,88
2019-02-21,0.628,0.45,0.49,0.564,1574347,23.13725490196079,0,5.376344086021501,13.480885311871216,284.88357026733,6,5,88
2019-02-20,0.626,0.552,0.608,0.626,138334,-0.31847133757961776,22.66666666666668,24.081632653061224,10.992907801418461,-91.21324587273327,6,5,88
2019-02-19,0.644,0.542,0.626,0.638,59918,2.8753993610223683,-1.8115942028985477,2.960526315789469,1.9169329073482455,-56.68599187473795,6,5,88
2019-02-18,0.69,0.6,0.61,0.61,75766,7.14285714285714,10.7011070110701,-2.5559105431309903,-4.3887147335423204,26.449480957308324,6,5,88
2019-02-15,0.598,0.512,0.598,0.518,112030,-13.33333333333333,-14.66666666666666,-1.967213114754096,-15.081967213114744,47.86315761687301,6,5,88
2019-02-14,0.552,0.518,0.54,0.552,40282,-7.692307692307676,1.171875,-9.698996655518389,6.563706563706573,-64.04355976077835,6,5,88
2019-02-13,0.578,0.504,0.546,0.56,181243,4.710144927536208,-2.7027027027027084,1.1111111111111072,1.449275362318847,349.93545504195424,6,5,88
2019-02-12,0.554,0.55,0.552,0.552,43301,-4.152249134948082,9.126984126984139,1.098901098901095,-1.4285714285714346,-76.10887041154693,6,5,88
2019-02-11,0.608,0.568,0.568,0.608,69405,9.747292418772545,3.2727272727272494,2.898550724637672,10.144927536231862,60.28498187108842,6,5,88
2019-02-08,0.64,0.544,0.624,0.544,322309,5.263157894736836,-4.22535211267604,9.859154929577475,-10.526315789473673,364.38873280023057,6,5,88
2019-02-07,0.676,0.495,0.608,0.52,592127,5.625000000000013,-9.007352941176483,-2.564102564102566,-4.4117647058823595,83.7140756230822,6,5,88
2019-02-06,0.536,0.481,0.52,0.49,276987,-20.71005917159764,-2.8282828282828354,-14.473684210526304,-5.769230769230771,-53.22169061704668,6,5,88
2019-02-05,0.528,0.478,0.5,0.497,151113,-1.4925373134328401,-0.6237006237006293,-3.8461538461538547,1.4285714285714235,-45.4440100076899,6,5,88
2019-02-04,0.508,0.475,0.483,0.498,188361,-3.7878787878787956,-0.6276150627615107,-3.400000000000003,0.2012072434607548,24.64910365091024,6,5,88
2019-02-01,0.506,0.462,0.484,0.49,174052,-0.3937007874015741,-2.7368421052631486,0.20703933747412417,-1.6064257028112428,-7.596583156810588,6,5,88
2019-01-31,0.5,0.454,0.49,0.5,309174,-1.1857707509881465,-1.7316017316017285,1.2396694214876103,2.0408163265306145,77.63312113621217,6,5,88
2019-01-30,0.492,0.456,0.479,0.492,163005,-1.6000000000000014,0.4405286343612369,-2.244897959183678,-1.6000000000000014,-47.27726134797881,6,5,88
2019-01-29,0.499,0.462,0.473,0.47,269566,1.4227642276422703,1.3157894736842035,-1.2526096033402934,-4.471544715447163,65.37284132388577,6,5,88
2019-01-28,0.47,0.44,0.447,0.46,110444,-5.811623246492992,-4.761904761904767,-5.496828752642702,-2.127659574468077,-59.028957657864865,6,5,88
2019-01-25,0.479,0.456,0.46,0.465,115587,1.914893617021285,3.6363636363636376,2.9082774049216997,1.0869565217391353,4.656658578102935,6,5,88
2019-01-24,0.474,0.446,0.45,0.468,95346,-1.043841336116913,-2.1929824561403577,-2.1739130434782594,0.6451612903225712,-17.511484855563342,6,5,88
