date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,89,85,86.5,89,1847,0,-1.7341040462427793,0,1.7142857142857126,197.90322580645162,4,5,78
2019-02-27,88,86,87,86,488,-1.1235955056179803,1.17647058823529,0.5780346820809301,-3.3707865168539297,-73.57877639415268,4,5,78
2019-02-26,89,85.5,86,86,5116,1.1363636363636465,-0.5813953488372103,-1.1494252873563204,0,948.360655737705,4,5,78
2019-02-25,91,85,88,88,2523,2.2471910112359605,-0.5847953216374324,2.3255813953488413,2.3255813953488413,-50.68412822517592,4,5,78
2019-02-22,91,86.5,88,89.5,2431,0,1.764705882352935,0,1.7045454545454586,-3.646452635751085,4,5,78
2019-02-21,89.5,87,89.5,87,379,-1.6483516483516536,0.5780346820809301,1.7045454545454586,-2.7932960893854775,-84.4097079391197,4,5,78
2019-02-20,90,85,88,85.5,3210,0.5586592178770999,-2.298850574712641,-1.6759776536312887,-1.7241379310344862,746.9656992084433,4,5,78
2019-02-19,90,85,85.5,86.5,2418,0,0,-2.840909090909094,1.1695906432748648,-24.67289719626168,4,5,78
2019-02-18,90,86.5,88,86.5,1481,0,1.764705882352935,2.923976608187129,0,-38.75103391232424,4,5,78
2019-02-15,88,85,87,86,1711,-2.2222222222222254,-1.7341040462427793,-1.1363636363636354,-0.5780346820809301,15.530047265361247,4,5,78
2019-02-14,88.5,85,85.5,88,1572,0.5681818181818121,0,-1.7241379310344862,2.3255813953488413,-8.12390414962011,4,5,78
2019-02-13,90,87.5,90,87.5,677,1.6949152542372836,2.941176470588225,5.263157894736836,-0.5681818181818232,-56.93384223918575,4,5,78
2019-02-12,91,87.5,87.5,90,1209,1.1111111111111072,0,-2.777777777777779,2.857142857142847,78.58197932053174,4,5,78
2019-02-11,92.5,87,90,92,1397,1.6483516483516425,-0.5714285714285672,2.857142857142847,2.2222222222222143,15.550041356492962,4,5,78
2019-02-08,90,85,90,90,1017,-2.7027027027026973,-2.298850574712641,0,-2.1739130434782594,-27.201145311381538,4,5,78
2019-02-07,91,89.5,90,90.5,1789,1.1111111111111072,5.294117647058827,0,0.5555555555555536,75.9095378564405,4,5,78
2019-02-06,93.5,91,93,91,2404,2.7472527472527375,1.6759776536312776,3.3333333333333437,0.5524861878453136,34.376746785913916,4,5,78
2019-02-05,94,91.5,93.5,94,1360,0.5347593582887722,0.5494505494505475,0.5376344086021501,3.296703296703307,-43.42762063227953,4,5,78
2019-02-04,96,92.5,93,94,1378,2.127659574468077,1.0928961748633892,-0.5347593582887722,0,1.3235294117647012,4,5,78
2019-02-01,95,90.5,94,91,1871,-1.041666666666663,-2.1621621621621623,1.0752688172043001,-3.1914893617021267,35.77648766328012,4,5,78
2019-01-31,98,90.5,93,97,4884,3.157894736842115,0,-1.0638297872340385,6.593406593406592,161.0368786745056,4,5,78
2019-01-30,98.5,95.5,97,95.5,673,0.5102040816326481,5.524861878453047,4.3010752688172005,-1.546391752577314,-86.22031122031122,4,5,78
2019-01-29,99,95,95.5,97.5,2587,0.50761421319796,-0.5235602094240788,-1.546391752577314,2.0942408376963373,284.39821693907874,4,5,78
2019-01-28,101,93,97.5,98.5,3214,2.020202020202011,-2.1052631578947323,2.0942408376963373,1.025641025641022,24.23656745264786,4,5,78
2019-01-25,98.5,94,98.5,98,258,-2.4752475247524774,1.0752688172043001,1.025641025641022,-0.5076142131979711,-91.97261978842563,4,5,78
2019-01-24,98.5,93,96.5,94.5,1369,0,-1.0638297872340385,-2.030456852791873,-3.57142857142857,430.62015503875966,4,5,78
