date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,0.061,0.056,0.058,0.059,6058389,3.3898305084745894,0,-1.6949152542372725,1.724137931034475,213.8060080305975,6,5,88
2019-02-27,0.056,0.053,0.055,0.055,1333747,-8.196721311475407,-5.35714285714286,-5.1724137931034475,-6.779661016949145,-77.98512112708511,6,5,88
2019-02-26,0.056,0.051,0.055,0.056,1379025,0,-3.7735849056603765,0,1.81818181818183,3.3947967643038757,6,5,88
2019-02-25,0.056,0.051,0.054,0.053,3849995,0,0,-1.8181818181818188,-5.35714285714286,179.18239335762584,6,5,88
2019-02-22,0.058,0.054,0.056,0.057,2621281,3.571428571428581,5.882352941176472,3.703703703703698,7.547169811320753,-31.914690798299738,6,5,88
2019-02-21,0.061,0.052,0.057,0.058,5451955,5.1724137931034475,-3.703703703703709,1.7857142857142794,1.7543859649122862,107.98819355879816,6,5,88
2019-02-20,0.062,0.058,0.058,0.061,6258748,1.6393442622950838,11.538461538461542,1.7543859649122862,5.1724137931034475,14.798232927454457,6,5,88
2019-02-19,0.069,0.055,0.063,0.06,14111729,11.290322580645174,-5.1724137931034475,8.62068965517242,-1.6393442622950838,125.47207524572008,6,5,88
2019-02-18,0.061,0.055,0.06,0.057,4835576,-11.594202898550732,0,-4.761904761904767,-4.999999999999993,-65.73363901758601,6,5,88
2019-02-15,0.061,0.057,0.057,0.06,2213889,0,3.6363636363636376,-4.999999999999993,5.263157894736836,-54.21664347742647,6,5,88
2019-02-14,0.06,0.056,0.06,0.056,1483765,-1.6393442622950838,-1.7543859649122862,5.263157894736836,-6.666666666666665,-32.979250540564585,6,5,88
2019-02-13,0.062,0.056,0.057,0.061,6593870,3.3333333333333437,0,-4.999999999999993,8.92857142857142,344.4012360447915,6,5,88
2019-02-12,0.061,0.059,0.061,0.061,898336,-1.6129032258064502,5.35714285714286,7.017543859649122,0,-86.37619485977127,6,5,88
2019-02-11,0.062,0.056,0.062,0.058,3483358,1.6393442622950838,-5.0847457627118615,1.6393442622950838,-4.91803278688524,287.7566968261319,6,5,88
2019-02-08,0.06,0.056,0.058,0.06,3242933,-3.2258064516129115,0,-6.451612903225801,3.44827586206895,-6.902104233903028,6,5,88
2019-02-07,0.064,0.055,0.06,0.062,8749368,6.666666666666665,-1.7857142857142905,3.44827586206895,3.3333333333333437,169.7979884259095,6,5,88
2019-02-06,0.068,0.06,0.064,0.064,6836752,6.25,9.090909090909083,6.666666666666665,3.2258064516129004,-21.860047491430233,6,5,88
2019-02-05,0.068,0.062,0.064,0.065,6463566,0,3.3333333333333437,0,1.5625,-5.458527675129943,6,5,88
