date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,8.4,7.5,8.29,7.95,76108,-1.0600706713780883,-1.7038007863695914,6.282051282051282,-0.6249999999999978,78.6237326323695,4,5,79
2019-02-27,8.4,7.21,7.85,7.21,203573,0,-3.8666666666666627,-5.307599517490946,-9.308176100628929,167.47910863509748,4,5,79
2019-02-26,7.4,6.7,6.95,6.7,43932,-11.904761904761907,-7.073509015256585,-11.46496815286624,-7.073509015256585,-78.41953500709819,4,5,79
2019-02-25,6.98,6.3,6.7,6.98,11216,-5.675675675675674,-5.97014925373135,-3.597122302158273,4.179104477611939,-74.46963489028498,4,5,79
2019-02-22,6.98,6.01,6.98,6.01,13259,0,-4.603174603174609,4.179104477611939,-13.896848137535823,18.21504992867333,4,5,79
2019-02-21,6.65,6.01,6.21,6.01,9330,-4.727793696275073,0,-11.031518624641844,0,-29.632702315408398,4,5,79
2019-02-20,6.65,6.3,6.65,6.65,1630,0,4.825291181364388,7.085346215781008,10.648918469217982,-82.52947481243301,4,5,79
2019-02-19,6.65,6,6.65,6.45,28393,0,-4.761904761904756,0,-3.007518796992481,1641.9018404907977,4,5,79
2019-02-18,6.7,6.2,6.45,6.57,30201,0.7518796992481258,3.3333333333333437,-3.007518796992481,1.8604651162790642,6.367766703060607,4,5,79
2019-02-15,6.75,6.4,6.57,6.5,32419,0.746268656716409,3.2258064516129004,1.8604651162790642,-1.0654490106544956,7.344127677891454,4,5,79
2019-02-14,6.88,6.25,6.4,6.6,38521,1.925925925925931,-2.34375,-2.5875190258751846,1.538461538461533,18.822295567414173,4,5,79
2019-02-13,6.3,6.1,6.1,6.2,42580,-8.430232558139538,-2.400000000000002,-4.687500000000011,-6.060606060606055,10.537109628514308,4,5,79
2019-02-12,6,5.49,5.55,5.49,28947,-4.761904761904756,-9.999999999999986,-9.016393442622949,-11.451612903225804,-32.01737905119775,4,5,79
2019-02-11,5.97,5,5.49,5.49,29253,-0.5000000000000004,-8.925318761384338,-1.08108108108107,0,1.0571043631464327,4,5,79
2019-02-08,6.2,5.28,5.49,6.2,10847,3.8525963149078857,5.600000000000005,0,12.932604735883423,-62.92004238881482,4,5,79
2019-02-07,6.2,5.5,5.75,5.5,19669,0,4.166666666666652,4.735883424408005,-11.290322580645162,81.331243661842,4,5,79
2019-02-06,6.3,5.33,5.7,6.3,45516,1.6129032258064502,-3.0909090909090886,-0.8695652173912993,14.54545454545455,131.4098327317098,4,5,79
2019-02-05,6.24,6.14,6.24,6.14,11256,-0.952380952380949,15.196998123827377,9.473684210526322,-2.5396825396825418,-75.27023464276299,4,5,79
2019-02-04,6.75,6.14,6.14,6.6,41881,8.173076923076916,0,-1.602564102564108,7.491856677524433,272.0771144278607,4,5,79
2019-02-01,6.72,6.17,6.6,6.17,108783,-0.4444444444444473,0.48859934853420217,7.491856677524433,-6.515151515151507,159.74308158830974,4,5,79
2019-01-31,6.16,5.99,6.1,6,8515,-8.333333333333325,-2.917341977309562,-7.57575757575758,-2.7552674230145846,-92.17249018688581,4,5,79
2019-01-30,6.05,5.73,6,5.9,15277,-1.7857142857142905,-4.340567612687806,-1.6393442622950727,-1.6666666666666607,79.4128009395185,4,5,79
