date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,3,3,3,3,10358,0,0,0,0,Infinity,8,5,56
2019-02-27,2.9,2.9,2.9,2.9,1208,-3.3333333333333326,-3.3333333333333326,-3.3333333333333326,-3.3333333333333326,-88.3375168951535,8,5,56
2019-02-26,3.02,3.02,3.02,3.02,1300,4.137931034482767,4.137931034482767,4.137931034482767,4.137931034482767,7.615894039735105,8,5,56
2019-02-25,2.86,2.86,2.86,2.86,1000,-5.298013245033117,-5.298013245033117,-5.298013245033117,-5.298013245033117,-23.076923076923073,8,5,56
2019-02-22,3.1,3.1,3.1,3.1,100,8.391608391608397,8.391608391608397,8.391608391608397,8.391608391608397,-90,8,5,56
2019-02-21,3.08,2.84,2.84,3.08,4242,-0.6451612903225823,-8.387096774193559,-8.387096774193559,-0.6451612903225823,4142,8,5,56
2019-02-20,3.1,2.54,2.94,2.72,19892,0.6493506493506551,-10.563380281690138,3.5211267605633756,-11.688311688311682,368.92975011786893,8,5,56
2019-02-19,2.7,2.68,2.68,2.7,8098,-12.903225806451612,5.51181102362206,-8.843537414965974,-0.7352941176470562,-59.290166901266836,8,5,56
2019-02-18,2.86,2.82,2.86,2.82,1650,5.925925925925912,5.223880597014907,6.716417910447747,4.444444444444429,-79.62459866633736,8,5,56
2019-02-15,2.82,2.8,2.82,2.8,851,-1.3986013986013957,-0.7092198581560294,-1.3986013986013957,-0.7092198581560294,-48.42424242424242,8,5,56
2019-02-14,2.8,2.72,2.72,2.8,7267,-0.7092198581560294,-2.857142857142847,-3.5460992907801248,0,753.936545240893,8,5,56
2019-02-13,2.84,2.82,2.82,2.84,11298,1.4285714285714235,3.676470588235281,3.676470588235281,1.4285714285714235,55.46993257190038,8,5,56
2019-02-12,3.12,3.12,3.12,3.12,300,9.859154929577475,10.63829787234043,10.63829787234043,9.859154929577475,-97.34466277217206,8,5,56
2019-02-11,3.1,2.88,2.92,3.1,13221,-0.6410256410256387,-7.692307692307699,-6.410256410256421,-0.6410256410256387,4307,8,5,56
2019-02-08,2.86,2.86,2.86,2.86,0,-7.741935483870977,-0.694444444444442,-2.0547945205479423,-7.741935483870977,-100,8,5,56
2019-02-07,2.86,2.86,2.86,2.86,1500,0,0,0,0,Infinity,8,5,56
2019-02-06,3.14,2.86,2.86,3.14,1930,9.790209790209792,0,0,9.790209790209792,28.666666666666664,8,5,56
2019-02-05,3.08,3.08,3.08,3.08,1647,-1.9108280254777066,7.692307692307709,7.692307692307709,-1.9108280254777066,-14.663212435233163,8,5,56
2019-02-04,2.8,2.8,2.8,2.8,0,-9.090909090909093,-9.090909090909093,-9.090909090909093,-9.090909090909093,-100,8,5,56
2019-02-01,2.8,2.8,2.8,2.8,0,0,0,0,0,NaN,8,5,56
2019-01-31,2.82,2.8,2.8,2.82,1948,0.7142857142857117,0,0,0.7142857142857117,Infinity,8,5,56
2019-01-30,3.06,2.8,2.8,2.8,1338,8.510638297872353,0,0,-0.7092198581560294,-31.314168377823403,8,5,56
2019-01-29,2.8,2.8,2.8,2.8,3751,-8.496732026143794,0,0,0,180.3437967115097,8,5,56
2019-01-28,2.98,2.8,2.96,2.84,20799,6.428571428571428,0,5.714285714285716,1.4285714285714235,454.49213543055185,8,5,56
2019-01-25,3.14,3.14,3.14,3.14,350,5.369127516778538,12.142857142857144,6.081081081081097,10.563380281690149,-98.31722678974951,8,5,56
2019-01-24,2.92,2.92,2.92,2.92,1202,-7.006369426751602,-7.006369426751602,-7.006369426751602,-7.006369426751602,243.42857142857142,8,5,56
2019-01-23,2.92,2.92,2.92,2.92,40,0,0,0,0,-96.67221297836939,8,5,56
2019-01-22,3.26,2.88,2.92,3.26,5244,11.64383561643836,-1.3698630136986356,0,11.64383561643836,13010,8,5,56
2019-01-21,2.84,2.84,2.84,2.84,3750,-12.88343558282209,-1.388888888888895,-2.73972602739726,-12.88343558282209,-28.489702517162474,8,5,56
2019-01-18,3.2,3.1,3.2,3.1,466,12.676056338028175,9.154929577464799,12.676056338028175,9.154929577464799,-87.57333333333334,8,5,56
2019-01-17,3.3,3.3,3.3,3.3,100,3.124999999999978,6.451612903225801,3.124999999999978,6.451612903225801,-78.54077253218884,8,5,56
2019-01-16,3,3,3,3,10810,-9.090909090909083,-9.090909090909083,-9.090909090909083,-9.090909090909083,10710,8,5,56
2019-01-15,3,3,3,3,9190,0,0,0,0,-14.986123959296949,8,5,56
2019-01-14,3,2.98,3,2.98,30000,0,-0.666666666666671,0,-0.666666666666671,226.44178454842222,8,5,56
2019-01-11,3.14,2.64,3,3.14,12555,4.666666666666663,-11.409395973154357,0,5.369127516778538,-58.15,8,5,56
2019-01-10,3,3,3,3,0,-4.458598726114649,13.636363636363624,0,-4.458598726114649,-100,8,5,56
2019-01-09,3,3,3,3,0,0,0,0,0,NaN,8,5,56
2019-01-08,3,3,3,3,0,0,0,0,0,NaN,8,5,56
2019-01-07,3,3,3,3,0,0,0,0,0,NaN,8,5,56
2019-01-04,3,2.84,3,2.84,1535,0,-5.333333333333334,0,-5.333333333333334,Infinity,8,5,56
2019-01-03,3,3,3,3,0,0,5.633802816901423,0,5.633802816901423,-100,8,5,56
2019-01-02,3,3,3,3,0,0,0,0,0,NaN,8,5,56
2018-12-28,3,2.72,3,2.72,700,0,-9.333333333333327,0,-9.333333333333327,Infinity,8,5,56
2018-12-27,2.72,2.72,2.72,2.72,276,-9.333333333333327,0,-9.333333333333327,0,-60.57142857142856,8,5,56
2018-12-21,3,2.98,3,2.98,1946,10.294117647058808,9.558823529411754,10.294117647058808,9.558823529411754,605.0724637681159,8,5,56
