date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,69.15,68.05,69,69,655813,-0.36023054755043304,-0.07342143906020615,0.9509875640087762,-0.5763688760807018,134.56239493544118,1,1,75
2019-02-27,69.55,68.75,69.15,69.4,227914,0.5784526391901634,1.0286554004408588,0.21739130434783593,0.5797101449275477,-65.24710550111084,1,1,75
2019-02-26,69.45,68.45,69.4,68.5,285136,-0.14378145219265948,-0.43636363636363473,0.3615328994938549,-1.2968299711815678,25.10683854436322,1,1,75
2019-02-25,69.9,67.7,68.7,69.6,346724,0.6479481641468832,-1.0956902848794692,-1.008645533141217,1.6058394160583855,21.599517423264693,1,1,75
2019-02-22,69.6,68.5,69.6,68.75,191913,-0.42918454935624295,1.1816838995568624,1.3100436681222627,-1.2212643678160884,-44.64963486807952,1,1,75
2019-02-21,70.1,68.6,68.8,69.9,509101,0.7183908045977017,0.14598540145984717,-1.1494252873563204,1.6727272727272702,165.2769744623866,1,1,75
2019-02-20,70.15,69.45,69.65,70,444237,0.07132667617690824,1.2390670553936056,1.2354651162790775,0.14306151645206988,-12.740890314495557,1,1,75
2019-02-19,70.2,69,70.15,69,429189,0.07127583749109156,-0.6479481641468721,0.7178750897343766,-1.4285714285714235,-3.3873810601098064,1,1,75
2019-02-18,69.65,68.25,69.45,68.9,344482,-0.7834757834757844,-1.0869565217391353,-0.9978617248752708,-0.14492753623187582,-19.73652633222194,1,1,75
2019-02-15,69.25,68.25,68.9,68.4,1367224,-0.5743000717875146,0,-0.7919366450683918,-0.7256894049346929,296.89272588988683,1,1,75
2019-02-14,70,67.85,68.1,70,1607882,1.0830324909747224,-0.5860805860805951,-1.1611030478955175,2.3391812865497075,17.601943792677723,1,1,75
2019-02-13,68.8,67.9,68.6,68.35,283144,-1.7142857142857237,0.07369196757556207,0.7342143906020615,-2.3571428571428688,-82.39025003078584,1,1,75
2019-02-12,69.1,68.15,68.35,69.1,337373,0.43604651162789665,0.3681885125184081,-0.36443148688046767,1.097293343087058,19.15244539880767,1,1,75
2019-02-11,69.85,68.95,69.1,69.35,258357,1.085383502170778,1.1738811445341168,1.097293343087058,0.3617945007236001,-23.42096136916706,1,1,75
2019-02-08,69.9,68.85,69.5,69.45,258295,0.0715819613457569,-0.14503263234229014,0.5788712011577601,0.14419610670513006,-0.02399780149173747,1,1,75
2019-02-07,71.15,69.35,69.5,70.95,286798,1.7882689556509401,0.726216412490932,0,2.1598272138228847,11.035056814882216,1,1,75
2019-02-06,71.45,69.35,71.15,69.35,700110,0.42164441321153046,0,2.3741007194244768,-2.255109231853425,144.11258098034153,1,1,75
2019-02-05,69.95,68.9,69.75,69,316465,-2.099370188943317,-0.6488824801730186,-1.967673928320457,-0.5046863734679108,-54.797817485823664,1,1,75
2019-02-04,69.5,68.85,69.25,69.2,288572,-0.6433166547534008,-0.07256894049348928,-0.7168458781361964,0.28985507246377384,-8.813928870491205,1,1,75
2019-02-01,70.15,68.35,69.1,68.7,540055,0.9352517985611541,-0.726216412490921,-0.21660649819494893,-0.7225433526011571,87.1474016883135,1,1,75
