date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,71.2,70.2,71.2,70.2,514,-1.1111111111111072,-1.9553072625698165,-1.1111111111111072,-2.499999999999991,-66.2729658792651,5,3,25
2019-02-27,72,70,70.2,70.4,1674,1.1235955056179803,-0.2849002849002913,-1.4044943820224698,0.2849002849002913,225.68093385214007,5,3,25
2019-02-26,70.8,70.2,70.4,70.4,1320,-1.6666666666666718,0.28571428571428914,0.2849002849002913,0,-21.14695340501792,5,3,25
2019-02-25,71.2,70.4,70.4,71.2,1970,0.5649717514124353,0.2849002849002913,0,1.1363636363636243,49.24242424242424,5,3,25
2019-02-22,73,71,72,73,3615,2.528089887640439,0.8522727272727293,2.2727272727272707,2.528089887640439,83.50253807106598,5,3,25
2019-02-21,75,70.6,74,75,13702,2.7397260273972712,-0.5633802816901512,2.777777777777768,2.7397260273972712,279.0318118948824,5,3,25
2019-02-20,78.8,74.8,75,78.8,6454,5.066666666666664,5.9490084985835745,1.3513513513513598,5.066666666666664,-52.89738724273829,5,3,25
2019-02-19,87.8,75,77.8,87,19534,11.421319796954311,0.2673796791443861,3.733333333333322,10.40609137055839,202.6650139448404,5,3,25
2019-02-18,86.8,84.2,86.8,84.8,1285,-1.1389521640091105,12.26666666666667,11.568123393316188,-2.5287356321839094,-93.42172622094809,5,3,25
2019-02-15,85,83.2,84.8,83.2,1314,-2.073732718894006,-1.187648456057011,-2.304147465437789,-1.8867924528301772,2.2568093385213928,5,3,25
2019-02-14,84,83.2,83.2,84,211,-1.17647058823529,0,-1.8867924528301772,0.9615384615384581,-83.94216133942162,5,3,25
2019-02-13,84,84,84,84,0,0,0.9615384615384581,0.9615384615384581,0,-100,5,3,25
2019-02-12,85,84,84,85,237,1.1904761904761862,0,0,1.1904761904761862,Infinity,5,3,25
2019-02-11,85,83.2,84,84.8,2795,0,-0.952380952380949,0,-0.23529411764706687,1079.324894514768,5,3,25
2019-02-08,85.8,84.2,84.2,85.2,3333,0.9411764705882231,1.2019230769230838,0.23809523809523725,0.4716981132075526,19.248658318425772,5,3,25
2019-02-07,85.8,84,85.8,84,1004,0,-0.23752969121140222,1.9002375296911955,-1.4084507042253502,-69.87698769876988,5,3,25
2019-02-06,85.2,84,85,85,2144,-0.6993006993006978,0,-0.9324009324009341,1.1904761904761862,113.54581673306771,5,3,25
2019-02-05,85.2,83,85,83,4960,0,-1.1904761904761862,0,-2.352941176470591,131.34328358208953,5,3,25
2019-02-04,84,83,83,83,396,-1.4084507042253502,0,-2.352941176470591,0,-92.01612903225806,5,3,25
2019-02-01,84,83,83,84,1937,0,0,0,1.2048192771084265,389.1414141414141,5,3,25
2019-01-31,84,83.4,83.8,83.4,501,0,0.48192771084338837,0.9638554216867545,-0.7142857142857117,-74.13526071244192,5,3,25
2019-01-30,83.4,83.4,83.4,83.4,646,-0.7142857142857117,0,-0.4773269689737347,0,28.942115768463083,5,3,25
2019-01-29,83.8,83.4,83.4,83.8,130,0.47961630695443347,0,0,0.47961630695443347,-79.87616099071208,5,3,25
2019-01-28,84,84,84,84,0,0.23866348448686736,0.7194244604316502,0.7194244604316502,0.23866348448686736,-100,5,3,25
2019-01-25,84,81.8,84,84,76,0,-2.619047619047621,0,0,Infinity,5,3,25
2019-01-24,82.8,81,81,82.8,746,-1.4285714285714346,-0.9779951100244433,-3.57142857142857,-1.4285714285714346,881.578947368421,5,3,25
2019-01-23,84.4,82,82.8,82,1347,1.9323671497584627,1.2345679012345734,2.2222222222222143,-0.9661835748792202,80.56300268096514,5,3,25
2019-01-22,82.4,81.2,81.2,82,1715,-2.3696682464455,-0.9756097560975618,-1.9323671497584516,0,27.319970304380114,5,3,25
2019-01-21,83,82.8,82.8,83,1282,0.7281553398058138,1.9704433497536922,1.9704433497536922,1.2195121951219523,-25.247813411078713,5,3,25
2019-01-18,83,82.6,83,83,2329,0,-0.24154589371980784,0.24154589371980784,0,81.66926677067083,5,3,25
2019-01-17,83,80.4,82.8,82,1225,0,-2.663438256658579,-0.24096385542169418,-1.2048192771084376,-47.402318591670245,5,3,25
2019-01-16,83,82,83,82,211,0,1.990049751243772,0.24154589371980784,0,-82.77551020408163,5,3,25
2019-01-15,82,81,82,81,148,-1.2048192771084376,-1.2195121951219523,-1.2048192771084376,-1.2195121951219523,-29.85781990521327,5,3,25
2019-01-14,79.4,79.4,79.4,79.4,5,-3.170731707317065,-1.975308641975304,-3.170731707317065,-1.975308641975304,-96.62162162162163,5,3,25
2019-01-11,81,80.4,81,80.4,447,2.015113350125941,1.2594458438287104,2.015113350125941,1.2594458438287104,8840,5,3,25
2019-01-10,80.4,80.2,80.4,80.2,349,-0.7407407407407307,-0.24875621890547706,-0.7407407407407307,-0.24875621890547706,-21.923937360178968,5,3,25
2019-01-09,83.8,80,80.2,80,700,4.228855721393021,-0.24937655860349794,-0.24875621890547706,-0.24937655860349794,100.57306590257879,5,3,25
2019-01-08,84,80.8,83.8,83.4,109,0.23866348448686736,1.0000000000000009,4.48877805486283,4.249999999999998,-84.42857142857143,5,3,25
2019-01-07,84,82.8,83,84,565,0,2.4752475247524774,-0.9546539379474916,0.7194244604316502,418.348623853211,5,3,25
2019-01-04,83.6,83.4,83.6,83.4,1072,-0.4761904761904856,0.7246376811594235,0.7228915662650603,-0.7142857142857117,89.73451327433628,5,3,25
2019-01-03,83.8,83.4,83.4,83.8,75,0.23923444976077235,0,-0.23923444976075015,0.47961630695443347,-93.00373134328358,5,3,25
2019-01-02,84.4,81,82,81,21,0.7159904534606243,-2.877697841726623,-1.6786570743405393,-3.3412887828162208,-72,5,3,25
2018-12-28,82.8,75.2,80.8,78.6,606,-1.8957345971564066,-7.160493827160486,-1.4634146341463428,-2.9629629629629672,2785.714285714286,5,3,25
2018-12-27,82,78,78,82,3054,-0.9661835748792202,3.7234042553191404,-3.4653465346534573,4.325699745547085,403.96039603960395,5,3,25
2018-12-21,82.6,82,82,82.4,2397,0.7317073170731714,5.128205128205132,5.128205128205132,0.4878048780487809,-21.512770137524562,5,3,25
2018-12-20,82.8,80.4,82.4,82.8,1236,0.2421307506053294,-1.9512195121951126,0.4878048780487809,0.4854368932038833,-48.43554443053817,5,3,25
2018-12-19,81.4,80.4,81.4,80.4,719,-1.6908212560386326,0,-1.2135922330097082,-2.898550724637672,-41.82847896440129,5,3,25
2018-12-18,82.4,80.2,81.6,81.8,4160,1.228501228501222,-0.24875621890547706,0.24570024570023108,1.741293532338295,478.5813630041725,5,3,25
2018-12-17,82.4,80,82,81.6,6982,0,-0.24937655860349794,0.4901960784313708,-0.24449877750611915,67.83653846153845,5,3,25
2018-12-14,82,78,81.8,81.8,770,-0.4854368932038944,-2.500000000000002,-0.24390243902439046,0.2450980392156854,-88.97164136350617,5,3,25
2018-12-13,82.2,80.4,82,81,1167,0.24390243902439046,3.076923076923088,0.24449877750611915,-0.9779951100244433,51.55844155844156,5,3,25
2018-12-12,81.4,81,81.4,81,158,-0.9732360097323589,0.746268656716409,-0.7317073170731603,0,-86.46101113967438,5,3,25
2018-12-11,81.6,80,81.6,81.6,1202,0.24570024570023108,-1.2345679012345734,0.24570024570023108,0.7407407407407307,660.7594936708861,5,3,25
2018-12-10,81,80.2,81,80.6,840,-0.7352941176470562,0.24999999999999467,-0.7352941176470562,-1.225490196078427,-30.116472545757066,5,3,25
2018-12-07,82.2,80.4,80.4,82.2,42,1.4814814814814836,0.24937655860348684,-0.7407407407407307,1.985111662531036,-95,5,3,25
2018-12-06,82.6,80,82.2,80.8,3957,0.48661800486617945,-0.4975124378109541,2.238805970149249,-1.7031630170316392,9321.42857142857,5,3,25
2018-12-05,81,80.2,80.6,80.2,712,-1.937046004842613,0.24999999999999467,-1.946472019464729,-0.7425742574257321,-82.00657063431893,5,3,25
2018-12-04,82.4,81,81,81.8,1660,1.7283950617283939,0.9975062344139696,0.496277915632759,1.995012468827917,133.14606741573033,5,3,25
2018-12-03,81.8,81,81,81.2,1208,-0.728155339805836,0,0,-0.7334963325183352,-27.2289156626506,5,3,25
2018-11-30,81.4,81.2,81.2,81.4,837,-0.4889975550122161,0.24691358024691024,0.24691358024691024,0.24630541871921707,-30.71192052980133,5,3,25
2018-11-29,82,81,81.4,81.4,2327,0.7371007371007376,-0.24630541871921707,0.24630541871921707,0,178.01672640382318,5,3,25
2018-11-28,84.8,80.4,81,84.8,3992,3.4146341463414664,-0.7407407407407307,-0.49140049140049546,4.176904176904173,71.5513536742587,5,3,25
2018-11-27,80,80,80,80,1738,-5.660377358490565,-0.4975124378109541,-1.2345679012345734,-5.660377358490565,-56.4629258517034,5,3,25
2018-11-26,80,79,79.8,79.6,2450,0,-1.2499999999999956,-0.2500000000000058,-0.5000000000000115,40.96662830840045,5,3,25
2018-11-23,79.8,78.4,79.6,78.4,719,-0.2500000000000058,-0.7594936708860689,-0.25062656641604564,-1.5075376884421954,-70.6530612244898,5,3,25
2018-11-22,78.4,78.4,78.4,78.4,17,-1.754385964912275,0,-1.5075376884421954,0,-97.63560500695411,5,3,25
2018-11-21,78.8,78,78.8,78,1794,0.5102040816326481,-0.5102040816326592,0.5102040816326481,-0.5102040816326592,10452.94117647059,5,3,25
2018-11-20,79,78.2,78.6,78.4,1867,0.2538071065989911,0.2564102564102555,-0.2538071065989911,0.512820512820511,4.069119286510592,5,3,25
2018-11-19,79.8,78.6,78.6,79.8,128,1.0126582278481067,0.5115089514066362,0,1.7857142857142794,-93.14408141403321,5,3,25
2018-11-16,79.6,78,78.8,78.2,572,-0.25062656641604564,-0.7633587786259444,0.2544529262086481,-2.0050125313283096,346.875,5,3,25
2018-11-15,80.8,78.2,78.2,80.8,1113,1.5075376884422065,0.2564102564102555,-0.761421319796951,3.324808184143224,94.58041958041959,5,3,25
2018-11-14,80.6,80.4,80.6,80.6,971,-0.24752475247524774,2.813299232736566,3.069053708439884,-0.24752475247524774,-12.758310871518418,5,3,25
2018-11-13,80.6,80,80.6,80,1536,0,-0.4975124378109541,0,-0.7444168734491274,58.187435633367656,5,3,25
2018-11-12,80.4,77.2,80,80.2,793,-0.2481389578163684,-3.499999999999992,-0.7444168734491274,0.24999999999999467,-48.372395833333336,5,3,25
2018-11-09,80.6,80,80,80,200,0.24875621890545485,3.626943005181338,0,-0.24937655860349794,-74.77931904161412,5,3,25
2018-11-08,79.8,78.2,79.8,79.8,3474,-0.992555831265507,-2.2499999999999964,-0.2500000000000058,-0.2500000000000058,1637,5,3,25
