date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,0.64,0.554,0.608,0.64,94161,6.666666666666665,6.538461538461537,2.0134228187919545,9.589041095890426,-45.43700347099489,4,5,79
2019-02-27,0.64,0.63,0.63,0.64,22174,0,13.718411552346566,3.618421052631593,0,-76.45097227089772,4,5,79
2019-02-26,0.65,0.55,0.64,0.62,170234,1.5625,-12.698412698412687,1.5873015873015817,-3.125,667.7189501217642,4,5,79
2019-02-25,0.738,0.61,0.62,0.634,32071,13.538461538461544,10.90909090909089,-3.125,2.2580645161290436,-81.16063771044561,4,5,79
2019-02-22,0.648,0.602,0.61,0.612,59779,-12.195121951219512,-1.3114754098360715,-1.6129032258064502,-3.4700315457413256,86.39580929811979,4,5,79
2019-02-21,0.618,0.562,0.59,0.602,48532,-4.629629629629639,-6.644518272425238,-3.2786885245901676,-1.6339869281045805,-18.814299335887185,4,5,79
2019-02-20,0.668,0.6,0.638,0.642,131471,8.090614886731395,6.761565836298922,8.135593220338988,6.644518272425248,170.89549163438556,4,5,79
2019-02-19,0.676,0.6,0.64,0.676,282316,1.1976047904191711,0,0.31347962382444194,5.295950155763252,114.73632968487348,4,5,79
2019-02-18,0.682,0.582,0.676,0.68,18756,0.8875739644970349,-3.0000000000000027,5.625000000000013,0.591715976331364,-93.35638079315378,4,5,79
2019-02-15,0.69,0.652,0.684,0.682,29794,1.1730205278592143,12.02749140893471,1.183431952662728,0.2941176470588225,58.85050117295798,4,5,79
2019-02-14,0.786,0.606,0.682,0.692,124380,13.913043478260878,-7.055214723926384,-0.29239766081871066,1.4662756598240234,317.466604014231,4,5,79
2019-02-13,0.72,0.65,0.692,0.682,153581,-8.3969465648855,7.26072607260726,1.4662756598240234,-1.445086705202292,23.477247145843382,4,5,79
2019-02-12,0.73,0.622,0.682,0.72,175147,1.388888888888884,-4.307692307692312,-1.445086705202292,5.571847507331373,14.042101562042175,4,5,79
2019-02-11,0.828,0.702,0.72,0.72,129748,13.424657534246576,12.86173633440515,5.571847507331373,0,-25.920512483799317,4,5,79
2019-02-08,0.82,0.68,0.702,0.74,87755,-0.9661835748792313,-3.1339031339031265,-2.500000000000002,2.77777777777779,-32.36504608934242,4,5,79
2019-02-07,0.796,0.712,0.72,0.712,88340,-2.9268292682926744,4.70588235294116,2.564102564102577,-3.7837837837837895,0.6666286821263689,4,5,79
2019-02-06,0.888,0.75,0.776,0.8,310070,11.557788944723612,5.337078651685401,7.7777777777777946,12.35955056179776,250.99615123386917,4,5,79
2019-02-05,0.88,0.8,0.8,0.88,90443,-0.9009009009009028,6.666666666666665,3.0927835051546504,9.999999999999986,-70.83142516206019,4,5,79
2019-02-04,0.99,0.85,0.882,0.85,174285,12.5,6.25,10.250000000000004,-3.409090909090917,92.70148049047467,4,5,79
2019-02-01,0.95,0.8,0.86,0.874,151044,-4.040404040404044,-5.88235294117646,-2.4943310657596363,2.8235294117647136,-13.33505465186333,4,5,79
2019-01-31,0.888,0.812,0.876,0.86,98507,-6.52631578947368,1.4999999999999902,1.8604651162790642,-1.6018306636155666,-34.782579910489666,4,5,79
2019-01-30,0.876,0.8,0.854,0.876,30170,-1.3513513513513487,-1.4778325123152691,-2.511415525114158,1.8604651162790642,-69.37273493254287,4,5,79
2019-01-29,0.876,0.8,0.876,0.836,57122,0,0,2.576112412177989,-4.5662100456621,89.33377527345046,4,5,79
2019-01-28,0.878,0.81,0.836,0.854,86771,0.22831050228311334,1.2499999999999956,-4.5662100456621,2.1531100478468845,51.90469521375303,4,5,79
2019-01-25,0.99,0.88,0.88,0.91,255253,12.756264236902059,8.64197530864197,5.263157894736836,6.557377049180335,194.16855861981537,4,5,79
2019-01-24,1,0.746,0.88,0.75,540685,1.0101010101010166,-15.227272727272723,0,-17.582417582417587,111.8231715200213,4,5,79
2019-01-23,0.748,0.65,0.746,0.672,282019,-25.2,-12.868632707774797,-15.227272727272723,-10.399999999999999,-47.84042464651323,4,5,79
2019-01-22,0.748,0.63,0.652,0.696,19158,0,-3.076923076923077,-12.600536193029487,3.5714285714285587,-93.20684067385531,4,5,79
2019-01-21,0.75,0.622,0.694,0.67,210491,0.2673796791443861,-1.2698412698412764,6.441717791411028,-3.735632183908033,998.7107213696628,4,5,79
2019-01-18,0.69,0.65,0.67,0.66,57203,-8.000000000000007,4.5016077170418,-3.458213256484133,-1.4925373134328401,-72.82401622872237,4,5,79
2019-01-17,0.68,0.66,0.66,0.68,9343,-1.4492753623188248,1.538461538461533,-1.4925373134328401,3.0303030303030276,-83.6669405450763,4,5,79
2019-01-16,0.738,0.67,0.68,0.67,22202,8.529411764705873,1.5151515151515138,3.0303030303030276,-1.4705882352941235,137.63245210317888,4,5,79
2019-01-15,0.74,0.67,0.67,0.708,41558,0.27100271002709064,0,-1.4705882352941235,5.671641791044757,87.18133501486354,4,5,79
2019-01-14,0.734,0.7,0.708,0.73,38926,-0.8108108108108136,4.477611940298498,5.671641791044757,3.1073446327683607,-6.333317291496221,4,5,79
2019-01-11,0.738,0.662,0.73,0.7,99095,0.5449591280654031,-5.428571428571416,3.1073446327683607,-4.109589041095896,154.57277911935466,4,5,79
2019-01-10,0.78,0.68,0.7,0.75,94807,5.691056910569103,2.7190332326284095,-4.109589041095896,7.14285714285714,-4.327160805287855,4,5,79
2019-01-09,0.77,0.65,0.69,0.71,149091,-1.2820512820512886,-4.4117647058823595,-1.4285714285714346,-5.333333333333334,57.257375510247144,4,5,79
2019-01-08,0.786,0.65,0.71,0.698,231059,2.0779220779220786,0,2.898550724637694,-1.6901408450704203,54.97850306188838,4,5,79
2019-01-07,0.8,0.55,0.68,0.55,512943,1.781170483460559,-15.384615384615385,-4.22535211267604,-21.203438395415464,121.99654633664996,4,5,79
2019-01-04,0.582,0.53,0.578,0.54,44836,-27.250000000000007,-3.6363636363636376,-15.000000000000014,-1.8181818181818188,-91.25906777166274,4,5,79
2019-01-03,0.596,0.54,0.54,0.54,57435,2.405498281786933,1.8867924528301883,-6.57439446366781,0,28.100187349451346,4,5,79
2019-01-02,0.598,0.5,0.54,0.56,192469,0.3355704697986628,-7.407407407407418,0,3.703703703703698,235.10751284060242,4,5,79
2018-12-28,0.598,0.512,0.56,0.598,138201,0,2.400000000000002,3.703703703703698,6.785714285714262,-28.195709438922634,4,5,79
2018-12-27,0.592,0.51,0.588,0.592,41971,-1.0033444816053505,-0.390625,4.999999999999982,-1.0033444816053505,-69.63046577086996,4,5,79
2018-12-21,0.64,0.55,0.594,0.64,28974,8.108108108108114,7.843137254901977,1.0204081632652962,8.108108108108114,-30.966619808915684,4,5,79
2018-12-20,0.65,0.548,0.6,0.55,110921,1.5625,-0.363636363636366,1.0101010101010166,-14.0625,282.82943328501415,4,5,79
