date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,1.935,1.83,1.85,1.935,252325,0.5194805194805197,0,-1.8567639257294433,4.594594594594592,74.13132742141404,5,4,38
2019-02-27,2.22,1.9,1.95,2.22,528685,14.72868217054264,3.82513661202184,5.405405405405395,14.72868217054264,109.52541365302686,5,4,38
2019-02-26,2.49,1.75,2.09,1.84,589158,12.162162162162172,-7.894736842105255,7.179487179487176,-17.117117117117118,11.438380131836535,5,4,38
2019-02-25,1.915,1.8,1.91,1.8,114230,-23.092369477911657,2.857142857142869,-8.61244019138756,-2.1739130434782594,-80.61131309428032,5,4,38
2019-02-22,1.825,1.705,1.77,1.78,43483,-4.699738903394257,-5.277777777777781,-7.329842931937169,-1.1111111111111072,-61.933817736146366,5,4,38
2019-02-21,1.79,1.705,1.78,1.79,56403,-1.9178082191780743,0,0.5649717514124353,0.561797752808979,29.71276130901732,5,4,38
2019-02-20,1.815,1.75,1.8,1.755,27210,1.3966480446927276,2.639296187683282,1.1235955056179803,-1.9553072625698387,-51.75788521887134,5,4,38
2019-02-19,1.785,1.7,1.76,1.785,99326,-1.6528925619834767,-2.857142857142858,-2.2222222222222254,1.7094017094017033,265.0349136346931,5,4,38
2019-02-18,1.84,1.8,1.825,1.8,82268,3.08123249299721,5.882352941176472,3.693181818181812,0.8403361344537785,-17.173751082294665,5,4,38
2019-02-15,1.8,1.735,1.79,1.75,74596,-2.1739130434782594,-3.6111111111111094,-1.9178082191780743,-2.777777777777779,-9.325618709583317,5,4,38
2019-02-14,1.84,1.735,1.75,1.735,55997,2.2222222222222143,0,-2.2346368715083775,-0.8571428571428563,-24.93297227733391,5,4,38
2019-02-13,1.92,1.735,1.735,1.77,65483,4.347826086956519,0,-0.8571428571428563,2.0172910662824117,16.940193224637024,5,4,38
2019-02-12,1.8,1.7,1.725,1.8,10962,-6.249999999999989,-2.017291066282434,-0.5763688760806907,1.6949152542372836,-83.25977734679229,5,4,38
2019-02-11,1.78,1.73,1.73,1.78,69528,-1.1111111111111072,1.764705882352935,0.28985507246375164,-1.1111111111111072,534.2638204707171,5,4,38
2019-02-08,1.795,1.725,1.79,1.725,79874,0.8426966292134797,-0.28901734104045396,3.4682080924855585,-3.08988764044944,14.880335979749159,5,4,38
2019-02-07,1.8,1.725,1.73,1.74,24364,0.278551532033422,0,-3.3519553072625774,0.8695652173912993,-69.49695770839071,5,4,38
2019-02-06,1.745,1.72,1.74,1.745,71230,-3.055555555555556,-0.28985507246377384,0.5780346820809301,0.287356321839094,192.3575767525858,5,4,38
2019-02-05,1.755,1.735,1.745,1.735,16726,0.5730659025787732,0.8720930232558155,0.287356321839094,-0.5730659025787954,-76.51832093219149,5,4,38
2019-02-04,1.765,1.695,1.755,1.76,80142,0.5698005698005604,-2.3054755043227737,0.5730659025787732,1.4409221902017322,379.14623938777953,5,4,38
2019-02-01,1.795,1.71,1.76,1.71,54570,1.6997167138810276,0.8849557522123908,0.2849002849002913,-2.840909090909094,-31.908362656285092,5,4,38
2019-01-31,1.795,1.73,1.795,1.765,16377,0,1.1695906432748648,1.9886363636363535,3.2163742690058506,-69.98900494777351,5,4,38
2019-01-30,1.795,1.72,1.76,1.79,4534,0,-0.5780346820809301,-1.949860724233976,1.4164305949008638,-72.3148317762716,5,4,38
2019-01-29,1.8,1.7,1.795,1.745,50807,0.278551532033422,-1.1627906976744207,1.9886363636363535,-2.5139664804469275,1020.577856197618,5,4,38
2019-01-28,1.815,1.74,1.745,1.815,40351,0.8333333333333304,2.35294117647058,-2.785515320334253,4.011461318051568,-20.579841360442465,5,4,38
2019-01-25,1.825,1.71,1.81,1.755,127874,0.5509641873278293,-1.7241379310344862,3.72492836676217,-3.3057851239669422,216.9041659438428,5,4,38
2019-01-24,1.775,1.655,1.755,1.775,115754,-2.73972602739726,-3.2163742690058394,-3.03867403314918,1.139601139601143,-9.478079984985222,5,4,38
2019-01-23,1.805,1.69,1.775,1.72,29206,1.6901408450704203,2.114803625377637,1.139601139601143,-3.0985915492957705,-74.76890647407433,5,4,38
2019-01-22,1.8,1.7,1.72,1.79,117572,-0.27700831024930483,0.591715976331364,-3.0985915492957705,4.069767441860472,302.5611175785797,5,4,38
2019-01-21,1.82,1.69,1.79,1.82,213461,1.1111111111111072,-0.588235294117645,4.069767441860472,1.6759776536312776,81.55768380226584,5,4,38
2019-01-18,1.84,1.79,1.84,1.82,60104,1.098901098901095,5.9171597633136175,2.7932960893854775,0,-71.84310014475712,5,4,38
2019-01-17,1.855,1.79,1.82,1.855,54066,0.8152173913043459,0,-1.0869565217391353,1.9230769230769162,-10.04592040463197,5,4,38
2019-01-16,1.875,1.8,1.855,1.825,91406,1.0781671159029615,0.5586592178770999,1.9230769230769162,-1.6172506738544534,69.06373691414198,5,4,38
2019-01-15,1.91,1.845,1.88,1.87,52624,1.866666666666661,2.499999999999991,1.3477088948786964,2.465753424657535,-42.42828698334902,5,4,38
2019-01-14,1.94,1.8,1.84,1.835,128847,1.5706806282722585,-2.4390243902438935,-2.127659574468077,-1.8716577540107027,144.84455761629675,5,4,38
2019-01-11,1.9,1.805,1.86,1.865,203662,-2.0618556701030966,0.2777777777777768,1.0869565217391353,1.6348773841961872,58.06499181199407,5,4,38
2019-01-10,1.87,1.76,1.86,1.8,58977,-1.5789473684210464,-2.4930747922437657,0,-3.4852546916890104,-71.04172599699503,5,4,38
2019-01-09,1.885,1.78,1.835,1.885,113865,0.8021390374331583,1.1363636363636465,-1.3440860215053863,4.722222222222228,93.06678874815606,5,4,38
2019-01-08,1.885,1.765,1.875,1.86,107376,0,-0.8426966292134908,2.1798365122615904,-1.3262599469495928,-5.698853905941248,5,4,38
2019-01-07,1.895,1.775,1.86,1.85,51143,0.5305039787798504,0.56657223796035,-0.7999999999999896,-0.5376344086021501,-52.37017583072567,5,4,38
2019-01-04,1.85,1.75,1.85,1.75,72117,-2.37467018469657,-1.4084507042253502,-0.5376344086021501,-5.405405405405405,41.01049997067048,5,4,38
