date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,9.14,8.86,9.12,8.97,29100,-0.10928961748634114,-0.7838745800671898,1.4460511679643906,-1.6447368421052433,-56.75049045835563,10,4,13
2019-02-27,9.04,8.85,8.97,9.04,58931,-1.0940919037199293,-0.11286681715575453,-1.6447368421052433,0.7803790412485911,102.51202749140896,10,4,13
2019-02-26,9.09,8.9,8.98,9.04,80266,0.5530973451327581,0.5649717514124353,0.11148272017837968,0,36.20335646773345,10,4,13
2019-02-25,9.2,8.9,9.08,9.07,90884,1.2101210121012063,0,1.1135857461024523,0.33185840707965486,13.22851518700321,10,4,13
2019-02-22,9.39,8.8,9.02,9.39,106932,2.0652173913043637,-1.1235955056179692,-0.6607929515418554,3.528114663726578,17.657673517890938,10,4,13
2019-02-21,9.4,8.49,9.13,8.7,248962,0.10649627263046302,-3.5227272727272774,1.2195121951219745,-7.348242811501615,132.8227284629484,10,4,13
2019-02-20,9,8.65,8.65,8.79,109194,-4.255319148936176,1.8845700824499323,-5.257393209200445,1.0344827586206806,-56.140294502775525,10,4,13
2019-02-19,9,8.66,8.84,9,87601,0,0.11560693641619046,2.196531791907508,2.3890784982935287,-19.77489605655989,10,4,13
2019-02-18,9.1,8.86,9,9.1,69851,1.1111111111111072,2.3094688221708903,1.8099547511312153,1.1111111111111072,-20.262325772536837,10,4,13
2019-02-15,9.3,9.01,9.1,9.22,38772,2.197802197802212,1.6930022573363512,1.1111111111111072,1.3186813186813362,-44.493278550056544,10,4,13
2019-02-14,9.25,9,9.1,9.2,56680,-0.5376344086021612,-0.11098779134295356,0,-0.21691973969633072,46.18797070050551,10,4,13
2019-02-13,9.25,9.06,9.2,9.2,47113,0,0.6666666666666821,1.098901098901095,0,-16.878969654199018,10,4,13
2019-02-12,9.39,9.11,9.2,9.3,51783,1.5135135135135203,0.5518763796909409,0,1.0869565217391353,9.912338420393517,10,4,13
2019-02-11,9.18,9,9.11,9.1,76079,-2.2364217252396235,-1.207464324917662,-0.9782608695652173,-2.1505376344086113,46.91887298920494,10,4,13
2019-02-08,9.3,9.03,9.11,9.24,29417,1.3071895424836777,0.3333333333333188,0,1.5384615384615552,-61.333613743608616,10,4,13
2019-02-07,9.32,9.13,9.24,9.3,40072,0.21505376344086446,1.1074197120708895,1.4270032930845389,0.6493506493506551,36.220552741611996,10,4,13
2019-02-06,9.3,9.1,9.3,9.25,67942,-0.21459227467810482,-0.3285870755750375,0.6493506493506551,-0.5376344086021612,69.5498103413855,10,4,13
2019-02-05,9.25,9.03,9.23,9.24,57263,-0.5376344086021612,-0.7692307692307776,-0.7526881720430145,-0.108108108108107,-15.717818139000917,10,4,13
2019-02-04,9.22,9.04,9.22,9.22,42020,-0.324324324324321,0.11074197120708451,-0.10834236186348933,-0.21645021645021467,-26.61928295758168,10,4,13
2019-02-01,9.22,9.11,9.22,9.13,35666,0,0.7743362831858391,0,-0.9761388286333994,-15.121370775821042,10,4,13
2019-01-31,9.35,9.11,9.11,9.35,39540,1.4099783080260275,0,-1.1930585683297301,2.409638554216853,10.861885268883519,10,4,13
2019-01-30,9.25,9.03,9.08,9.25,29784,-1.0695187165775333,-0.8781558726673966,-0.3293084522502654,-1.0695187165775333,-24.673748103186643,10,4,13
2019-01-29,9.37,9.02,9.22,9.37,53862,1.297297297297284,-0.11074197120708451,1.541850220264318,1.297297297297284,80.84206285253828,10,4,13
2019-01-28,9.37,9.2,9.34,9.35,58860,0,1.9955654101995624,1.3015184381778733,-0.2134471718249653,9.27926924362259,10,4,13
2019-01-25,9.43,9.23,9.24,9.32,93559,0.6403415154749181,0.3260869565217428,-1.0706638115631661,-0.3208556149732589,58.95174991505267,10,4,13
2019-01-24,9.3,9.01,9.1,9.15,57304,-1.3785790031813239,-2.3835319609967542,-1.515151515151525,-1.8240343347639465,-38.7509485992796,10,4,13
2019-01-23,9.3,9,9.15,9.05,105616,0,-0.11098779134295356,0.5494505494505475,-1.0928961748633892,84.30825073293313,10,4,13
2019-01-22,9.29,8.75,9.05,9.29,75757,-0.10752688172044333,-2.777777777777779,-1.0928961748633892,2.6519337016574385,-28.271284653840322,10,4,13
