date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,36.41,35.75,36.21,36.34,2726249,-0.4647348277747487,-0.390080802451942,0.5833333333333357,-0.16483516483515315,12.224845776968763,7,1,17
2019-02-27,36.67,36.11,36.5,36.34,2169577,0.714089535841822,1.0069930069930066,0.8008837337752039,0,-20.418971267848242,7,1,17
2019-02-26,36.59,36.04,36.44,36.45,2419046,-0.21816198527405684,-0.19385211852672724,-0.16438356164384382,0.30269675288938647,11.49850869547382,7,1,17
2019-02-25,36.96,36.24,36.48,36.77,2980266,1.011205247335334,0.5549389567147678,0.1097694840834329,0.8779149519890339,23.200054897674537,7,1,17
2019-02-22,36.89,36.05,36.42,36.2,3950438,-0.18939393939394478,-0.5242825607064128,-0.16447368421050879,-1.550176774544465,32.553201626968864,7,1,17
2019-02-21,36.19,35.31,35.98,35.76,3871700,-1.8975332068311257,-2.052704576976405,-1.2081274025260935,-1.2154696132596787,-1.9931460764603837,7,1,17
2019-02-20,35.85,34.38,35.76,34.38,8087963,-0.9394860458690091,-2.633814783347488,-0.611450806003333,-3.8590604026845554,108.89952733941163,7,1,17
2019-02-19,34.38,33.9,34.25,34.19,4405324,-4.10041841004184,-1.3961605584642323,-4.222595078299774,-0.5526468877254387,-45.532342321546224,7,1,17
2019-02-18,34.51,33.94,34.16,34.22,2146435,0.3781268179173791,0.11799410029498247,-0.26277372262775156,0.08774495466510324,-51.276341989828666,7,1,17
2019-02-15,34.33,33.04,34.08,33.37,4037526,-0.5215879455230388,-2.6517383618149593,-0.23419203747072626,-2.4839275277615425,88.10380933967252,7,1,17
2019-02-14,34.43,33.23,33.5,34.43,3778696,0.29129041654529786,0.5750605326876546,-1.7018779342723,3.176505843572075,-6.410608872859269,7,1,17
2019-02-13,34.2,33.5,34.07,33.91,2433766,-0.668022073772867,0.8125188083057511,1.7014925373134426,-1.5103107754865008,-35.59243717938675,7,1,17
2019-02-12,34.02,33.55,33.78,33.96,2018963,-0.5263157894736858,0.14925373134326847,-0.8511887290871711,0.14744913005013682,-17.04366812585927,7,1,17
2019-02-11,34.07,33.63,33.74,33.77,3154231,0.14697236919458678,0.23845007451566147,-0.1184132622853773,-0.5594817432273191,56.23025285753131,7,1,17
2019-02-08,34.7,33.39,33.48,34.26,3278281,1.8491341356031699,-0.7136485280999194,-0.7705986959099187,1.4509920047379277,3.932812783844941,7,1,17
2019-02-07,35.31,34.26,34.26,35.02,3400707,1.757925072046107,2.605570530098822,2.3297491039426577,2.218330414477543,3.7344571743544774,7,1,17
2019-02-06,35.25,34.84,35.13,34.88,2390250,-0.1699235344095218,1.6929363689433874,2.539404553415081,-0.3997715591090856,-29.71314494309566,7,1,17
2019-02-05,35.53,34.69,34.84,35.19,3148972,0.7943262411347574,-0.4305396096440983,-0.8255052661542805,0.8887614678898981,31.74237004497438,7,1,17
2019-02-04,35.99,34.14,34.81,35.98,4834227,1.2946805516464988,-1.5854713173825252,-0.0861079219288241,2.244955953395844,53.517624164330456,7,1,17
2019-02-01,36.12,35.34,35.91,35.91,4717572,0.3612114476243322,3.514938488576469,3.1600114909508648,-0.1945525291828787,-2.413105549242933,7,1,17
2019-01-31,36.2,35.45,35.78,35.56,6675783,0.22148394241419123,0.3112620260328214,-0.362016151489819,-0.9746588693956948,41.5088736324533,7,1,17
2019-01-30,35.95,34.28,35.2,34.4,7041266,-0.6906077348066253,-3.300423131170671,-1.6210173281162588,-3.2620922384702045,5.474758541432512,7,1,17
2019-01-29,35.19,33.24,34,33.25,10102441,-2.1140472878998784,-3.033838973162195,-3.409090909090917,-3.3430232558139483,43.47478138164358,7,1,17
2019-01-28,33.79,32.36,32.67,33.77,4170482,-3.978402955385052,-2.6474127557160165,-3.911764705882348,1.5639097744361008,-58.718076156049804,7,1,17
2019-01-25,33.64,32.89,33.5,32.95,3667181,-0.4439183190292906,1.6378244746600767,2.540557086011619,-2.428190701806343,-12.068173414967386,7,1,17
2019-01-24,32.95,32.43,32.76,32.56,3012178,-2.0511296076099805,-1.3986013986013957,-2.2089552238806043,-1.183611532625195,-17.86121274079463,7,1,17
2019-01-23,33.07,32.4,32.5,32.83,4048032,0.36418816388466,-0.09250693802035359,-0.7936507936507908,0.8292383292383132,34.38887077722499,7,1,17
2019-01-22,33.21,32.22,32.71,33.01,4929648,0.423344420925309,-0.5555555555555536,0.6461538461538519,0.5482790130977744,21.77887921834609,7,1,17
2019-01-21,34.55,33.8,33.81,34.55,2521727,4.034929238181251,4.903786468032267,3.3628859675940204,4.665252953650412,-48.84569851640522,7,1,17
2019-01-18,34.62,34,34.32,34,3555499,0.20260492040520273,0.591715976331364,1.5084294587400127,-1.5918958031837849,40.9946040947335,7,1,17
2019-01-17,33.83,32.72,33.59,33.05,6531981,-2.281917966493352,-3.764705882352948,-2.1270396270396175,-2.794117647058836,83.7148878399347,7,1,17
2019-01-16,33.13,32.39,33.08,32.84,2848973,-2.069169376293223,-1.008557457212711,-1.5183090205418415,-0.6354009077155665,-56.38424239139703,7,1,17
2019-01-15,33.15,32.35,32.49,32.83,2432554,0.060368246302422435,-0.1234949058351309,-1.783555018137839,-0.030450669914749984,-14.616460036651802,7,1,17
2019-01-14,32.8,32.14,32.46,32.46,1572092,-1.0558069381598867,-0.6491499227202491,-0.09233610341643494,-1.1270179713676387,-35.372781035898896,7,1,17
2019-01-11,32.79,32.39,32.61,32.62,2511438,-0.030487804878043256,0.7778469197261995,0.46210720887245316,0.49291435613061374,59.751337707971295,7,1,17
2019-01-10,32.65,31.8,32.4,32.61,3235514,-0.4269594388533138,-1.821549861068228,-0.643974241030365,-0.03065603923972926,28.83113180576227,7,1,17
2019-01-09,33.04,31.9,32.57,32.1,3665761,1.1944869831546745,0.3144654088050203,0.524691358024687,-1.5639374425022945,13.297639880402311,7,1,17
