date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,39.5,39.5,39.5,39.5,25,1.2820512820512775,2.5974025974025983,1.804123711340222,1.2820512820512775,-99.23989054423838,5,3,27
2019-02-27,40.9,39.1,39.5,40.1,2498,3.544303797468351,-1.0126582278480956,0,1.51898734177216,9892,5,3,27
2019-02-26,39.6,39,39,39.6,1413,-3.17848410757946,-0.2557544757033292,-1.2658227848101222,-1.2468827930174564,-43.43474779823859,5,3,27
2019-02-25,40,39,39.5,40,1917,1.0101010101010166,0,1.2820512820512775,1.0101010101010166,35.66878980891719,5,3,27
2019-02-22,39.5,39.5,39.5,39.5,20,-1.2499999999999956,1.2820512820512775,0,-1.2499999999999956,-98.95670318205529,5,3,27
2019-02-21,40,39.4,39.4,40,5320,1.2658227848101333,-0.25316455696202667,-0.25316455696202667,1.2658227848101333,26500,5,3,27
2019-02-20,40,39.3,39.3,39.5,4385,0,-0.2538071065989911,-0.2538071065989911,-1.2499999999999956,-17.575187969924812,5,3,27
2019-02-19,39.5,39.5,39.5,39.5,16,-1.2499999999999956,0.5089058524173184,0.5089058524173184,0,-99.6351197263398,5,3,27
2019-02-18,39,39,39,39,991,-1.2658227848101222,-1.2658227848101222,-1.2658227848101222,-1.2658227848101222,6093.75,5,3,27
2019-02-15,38.4,37.6,38.4,37.7,3556,-1.538461538461544,-3.589743589743588,-1.538461538461544,-3.3333333333333215,258.8294651866801,5,3,27
2019-02-14,41.2,37.6,38,41.2,7466,7.291666666666674,0,-1.041666666666663,9.283819628647215,109.95500562429696,5,3,27
2019-02-13,41,38.6,41,38.6,21235,-0.4854368932038944,2.659574468085113,7.8947368421052655,-6.310679611650494,184.42271631395658,5,3,27
2019-02-12,39.7,39.6,39.7,39.6,3868,-3.170731707317065,2.590673575129543,-3.170731707317065,2.590673575129543,-81.78478926300919,5,3,27
2019-02-11,39.7,38.7,39.3,39.7,1577,0,-2.2727272727272707,-1.0075566750629816,0.2525252525252597,-59.229576008273014,5,3,27
