date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,34.5,33.2,33.4,34.5,358041,2.071005917159763,1.2195121951219745,0.6630500301386233,3.2315978456014305,71.6696074106749,6,2,85
2019-02-27,35.14,34.1,34.5,35.14,225400,1.855072463768126,2.710843373493965,3.293413173652704,1.855072463768126,-37.04631592471254,6,2,85
2019-02-26,35.8,35,35.14,35.74,198219,1.878201479795094,2.639296187683282,1.855072463768126,1.707455890722831,-12.059006211180122,6,2,85
2019-02-25,35.96,34.1,35.74,34.18,396430,0.4469273743016755,-2.571428571428569,1.707455890722831,-4.364857302742031,99.99596405995388,6,2,85
2019-02-22,34.74,33.54,34.02,34.56,296827,-3.392658509454949,-1.6422287390029378,-4.812534974818128,1.1117612638970265,-25.124990540574633,6,2,85
2019-02-21,34.84,34.08,34.6,34.6,223928,0.28785261945885043,1.610017889087656,1.704879482657251,0.11574074074074403,-24.559423502578948,6,2,85
2019-02-20,35.44,34.44,34.58,35.42,199271,1.7221584385763267,1.0563380281690016,-0.057803468208106334,2.3699421965317935,-11.011128577042617,6,2,85
2019-02-19,36.16,35.18,35.42,35.78,106520,2.0316027088036037,2.1486643437863107,2.429149797570851,1.0163749294183955,-46.54515709762082,6,2,85
2019-02-18,35.92,35.14,35.78,35.76,104830,-0.6637168141592764,-0.11370096645820782,1.0163749294183955,-0.05589714924539857,-1.586556515208415,6,2,85
2019-02-15,36.38,34.64,35.76,34.74,274934,1.2806236080178168,-1.4228799089356814,-0.05589714924539857,-2.852348993288578,162.26652675760755,6,2,85
2019-02-14,35.68,34.16,34.96,35.26,304704,-1.924134139637168,-1.3856812933025542,-2.237136465324374,1.4968336211859334,10.828053278241324,6,2,85
2019-02-13,36.48,35.24,35.26,35.86,201423,2.2421524663676973,3.1615925058548155,0.8581235697940448,1.7016449234259934,-33.89551827347196,6,2,85
2019-02-12,36.26,35.18,35.5,35.4,160576,-0.6030701754385914,-0.17026106696935717,0.6806579693704018,-1.2827663134411638,-20.279213396682604,6,2,85
