date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,100.5,99.5,100.5,99.5,1559,-0.4950495049504955,0,-0.4950495049504955,-0.995024875621886,477.4074074074074,1,5,75
2019-02-27,99.5,99.5,99.5,99.5,1326,-0.995024875621886,0,-0.995024875621886,0,-14.945477870429757,1,5,75
2019-02-26,101,100,101,100,174,1.5075376884422065,0.5025125628140614,1.5075376884422065,0.5025125628140614,-86.87782805429865,1,5,75
2019-02-25,102,99.5,99.5,100,1051,0.990099009900991,-0.5000000000000004,-1.4851485148514865,0,504.0229885057471,1,5,75
2019-02-22,100,100,100,100,30,-1.9607843137254943,0.5025125628140614,0.5025125628140614,0,-97.14557564224549,1,5,75
2019-02-21,102,99,99,102,234,2.0000000000000018,-1.0000000000000009,-1.0000000000000009,2.0000000000000018,680,1,5,75
2019-02-20,101,101,101,101,40,-0.9803921568627416,2.020202020202011,2.020202020202011,-0.9803921568627416,-82.9059829059829,1,5,75
2019-02-19,101,100,100,101,359,0,-0.990099009900991,-0.990099009900991,0,797.5,1,5,75
2019-02-18,100,99.5,100,100,1830,-0.990099009900991,-0.5000000000000004,0,-0.990099009900991,409.74930362116993,1,5,75
2019-02-15,100,100,100,100,2165,0,0.5025125628140614,0,0,18.306010928961758,1,5,75
2019-02-14,101.5,100,101,100,5371,1.4999999999999902,0,1.0000000000000009,0,148.08314087759817,1,5,75
2019-02-13,102.5,102,102,102,346,0.9852216748768461,2.0000000000000018,0.990099009900991,2.0000000000000018,-93.55799664866878,1,5,75
2019-02-12,102.5,99,101.5,102.5,5132,0,-2.941176470588236,-0.4901960784313708,0.4901960784313708,1383.2369942196533,1,5,75
2019-02-11,102.5,99,102.5,101,12264,0,0,0.9852216748768461,-1.4634146341463428,138.97116134060795,1,5,75
2019-02-08,101,100,101,100.5,1250,-1.4634146341463428,1.0101010101010166,-1.4634146341463428,-0.4950495049504955,-89.80756686236138,1,5,75
2019-02-07,102,100,100,100.5,4217,0.990099009900991,0,-0.990099009900991,0,237.36,1,5,75
2019-02-06,104.5,102,102,104.5,1324,2.450980392156854,2.0000000000000018,2.0000000000000018,3.9800995024875663,-68.60327246857956,1,5,75
2019-02-05,104.5,104.5,104.5,104.5,40399,0,2.450980392156854,2.450980392156854,0,2951.283987915408,1,5,75
2019-02-04,104.5,104.5,104.5,104.5,0,0,0,0,0,-100,1,5,75
2019-02-01,104.5,102,104.5,102,10,0,-2.392344497607657,0,-2.392344497607657,Infinity,1,5,75
2019-01-31,105.5,104,105.5,105.5,60,0.9569377990430672,1.9607843137254832,0.9569377990430672,3.431372549019618,500,1,5,75
2019-01-30,105.5,103.5,104.5,103.5,10396,0,-0.48076923076922906,-0.9478672985781977,-1.8957345971563955,17226.666666666668,1,5,75
2019-01-29,103.5,103,103,103.5,514,-1.8957345971563955,-0.48309178743961567,-1.4354066985645897,0,-95.05579068872643,1,5,75
2019-01-28,103.5,103.5,103.5,103.5,104,0,0.4854368932038833,0.4854368932038833,0,-79.76653696498055,1,5,75
2019-01-25,103.5,103,103,103.5,220,0,-0.48309178743961567,-0.48309178743961567,0,111.53846153846155,1,5,75
2019-01-24,103.5,103.5,103.5,103.5,78,0,0.4854368932038833,0.4854368932038833,0,-64.54545454545455,1,5,75
2019-01-23,103,103,103,103,473,-0.48309178743961567,-0.48309178743961567,-0.48309178743961567,-0.48309178743961567,506.4102564102564,1,5,75
2019-01-22,104,100,104,100,1233,0.9708737864077666,-2.9126213592232997,0.9708737864077666,-2.9126213592232997,160.67653276955602,1,5,75
2019-01-21,104,101,101,103,461,0,1.0000000000000009,-2.8846153846153855,3.0000000000000027,-62.61151662611517,1,5,75
2019-01-18,101,100,101,100,1052,-2.8846153846153855,-0.990099009900991,0,-2.9126213592232997,128.1995661605206,1,5,75
2019-01-17,101,100,100,100,303,0,0,-0.990099009900991,0,-71.1977186311787,1,5,75
2019-01-16,101.5,100,100,100,1514,0.4950495049504955,0,0,0,399.6699669966997,1,5,75
2019-01-15,102.5,100,100,100,2217,0.9852216748768461,0,0,0,46.433289299867894,1,5,75
2019-01-14,103,100,100,103,43104,0.4878048780487809,0,0,3.0000000000000027,1844.2489851150203,1,5,75
2019-01-11,103,101,101,103,150,0,1.0000000000000009,1.0000000000000009,0,-99.65200445434299,1,5,75
2019-01-10,103.5,103,103,103,307,0.4854368932038833,1.980198019801982,1.980198019801982,0,104.66666666666669,1,5,75
2019-01-09,103,100,100,103,16023,-0.48309178743961567,-2.9126213592232997,-2.9126213592232997,0,5119.218241042346,1,5,75
2019-01-08,101,101,101,101,40004,-1.9417475728155331,1.0000000000000009,1.0000000000000009,-1.9417475728155331,149.6661049740997,1,5,75
2019-01-07,103,101,101,103,183,1.980198019801982,0,0,1.980198019801982,-99.54254574542546,1,5,75
2019-01-04,104.5,100,104.5,102,2715,1.4563106796116498,-0.990099009900991,3.4653465346534684,-0.9708737864077666,1383.6065573770493,1,5,75
2019-01-03,102,99.5,102,100.5,263,-2.392344497607657,-0.5000000000000004,-2.392344497607657,-1.4705882352941124,-90.31307550644567,1,5,75
2019-01-02,102,100,100,101,731,0,0.5025125628140614,-1.9607843137254943,0.4975124378109541,177.94676806083652,1,5,75
2018-12-28,101,99.5,101,99.5,656,-0.9803921568627416,-0.5000000000000004,1.0000000000000009,-1.4851485148514865,-10.259917920656637,1,5,75
2018-12-27,99,98.5,98.5,99,519,-1.980198019801982,-1.005025125628145,-2.4752475247524774,-0.5025125628140725,-20.884146341463417,1,5,75
2018-12-21,101,98,101,100,1200,2.020202020202011,-0.5076142131979711,2.538071065989844,1.0101010101010166,131.21387283236996,1,5,75
2018-12-20,101,100,100,101,162,0,2.0408163265306145,-0.990099009900991,1.0000000000000009,-86.5,1,5,75
2018-12-19,100,100,100,100,60,-0.990099009900991,0,0,-0.990099009900991,-62.96296296296296,1,5,75
2018-12-18,101,100,100,100,239,1.0000000000000009,0,0,0,298.3333333333333,1,5,75
2018-12-17,103,101.5,101.5,103,3002,1.980198019801982,1.4999999999999902,1.4999999999999902,3.0000000000000027,1156.0669456066944,1,5,75
2018-12-14,100,98,100,98,2673,-2.9126213592232997,-3.4482758620689613,-1.4778325123152691,-4.854368932038833,-10.959360426382414,1,5,75
2018-12-13,100,100,100,100,200,0,2.0408163265306145,0,2.0408163265306145,-92.51777029554808,1,5,75
2018-12-12,100,99,100,99,200,0,-1.0000000000000009,0,-1.0000000000000009,0,1,5,75
2018-12-11,101,100,100,101,600,1.0000000000000009,1.0101010101010166,0,2.020202020202011,200,1,5,75
2018-12-10,101,101,101,101,0,0,1.0000000000000009,1.0000000000000009,0,-100,1,5,75
2018-12-07,101,101,101,101,20,0,0,0,0,Infinity,1,5,75
2018-12-06,99,99,99,99,270,-1.980198019801982,-1.980198019801982,-1.980198019801982,-1.980198019801982,1250,1,5,75
2018-12-05,102,99.5,99.5,102,1763,3.0303030303030276,0.5050505050504972,0.5050505050504972,3.0303030303030276,552.9629629629629,1,5,75
2018-12-04,102,101.5,102,101.5,283,0,2.01005025125629,2.5125628140703515,-0.4901960784313708,-83.94781622234827,1,5,75
2018-12-03,101.5,99,101.5,99,105,-0.4901960784313708,-2.463054187192115,-0.4901960784313708,-2.463054187192115,-62.89752650176679,1,5,75
2018-11-30,101.5,101.5,101.5,101.5,0,0,2.5252525252525304,0,2.5252525252525304,-100,1,5,75
2018-11-29,101.5,101.5,101.5,101.5,20,0,0,0,0,Infinity,1,5,75
2018-11-28,100.5,100.5,100.5,100.5,101000,-0.9852216748768461,-0.9852216748768461,-0.9852216748768461,-0.9852216748768461,504900,1,5,75
2018-11-27,102,100,102,100,281,1.4925373134328401,-0.497512437810943,1.4925373134328401,-0.497512437810943,-99.72178217821782,1,5,75
2018-11-26,102,100,102,102,310,0,0,0,2.0000000000000018,10.320284697508896,1,5,75
2018-11-23,102.5,102.5,102.5,102.5,350,0.4901960784313708,2.499999999999991,0.4901960784313708,0.4901960784313708,12.903225806451623,1,5,75
2018-11-22,103,98,103,103,3167,0.4878048780487809,-4.390243902439028,0.4878048780487809,0.4878048780487809,804.8571428571428,1,5,75
2018-11-21,101,100,100,101,1100,-1.9417475728155331,2.0408163265306145,-2.9126213592232997,-1.9417475728155331,-65.26681401957688,1,5,75
2018-11-20,103,100,103,103,531,1.980198019801982,0,3.0000000000000027,1.980198019801982,-51.727272727272734,1,5,75
2018-11-19,104,104,104,104,1006,0.9708737864077666,4.0000000000000036,0.9708737864077666,0.9708737864077666,89.45386064030131,1,5,75
2018-11-16,104,101,103,101,31,0,-2.8846153846153855,-0.9615384615384581,-2.8846153846153855,-96.91848906560637,1,5,75
2018-11-15,104,104,104,104,15,0,2.970297029702973,0.9708737864077666,2.970297029702973,-51.61290322580645,1,5,75
