date,high,low,close,open,volume,highPct,lowPct,closePct,openPct,volumePct,sectorId,marketId,branchId
2019-02-28,6.36,6.14,6.14,6.34,56445,-0.31347962382444194,2.3333333333333206,-1.9169329073482455,3.2573289902280145,10.214003983285824,4,4,78
2019-02-27,6.78,6.2,6.4,6.78,80447,6.60377358490567,0.9771986970684043,4.234527687296419,6.940063091482651,42.522809814864026,4,4,78
2019-02-26,6.88,6.26,6.86,6.62,73878,1.4749262536873031,0.9677419354838568,7.187499999999991,-2.359882005899705,-8.165624572700036,4,4,78
2019-02-25,6.66,6.26,6.66,6.48,40026,-3.1976744186046457,0,-2.9154518950437303,-2.114803625377637,-45.8214894826606,4,4,78
2019-02-22,6.44,6.2,6.44,6.44,31224,-3.3033033033032955,-0.9584664536741117,-3.3033033033032955,-0.6172839506172867,-21.990706041073306,4,4,78
2019-02-21,6.54,6.22,6.26,6.54,25464,1.552795031055898,0.3225806451612856,-2.795031055900632,1.552795031055898,-18.447348193697156,4,4,78
2019-02-20,6.4,6.22,6.4,6.4,10785,-2.1406727828746086,0,2.2364217252396346,-2.1406727828746086,-57.646088595664466,4,4,78
2019-02-19,6.48,6.18,6.2,6.48,103353,1.2499999999999956,-0.6430868167202619,-3.125,1.2499999999999956,858.3031988873435,4,4,78
2019-02-18,6.68,6.34,6.64,6.44,83361,3.0864197530864113,2.5889967637540368,7.096774193548372,-0.6172839506172867,-19.343415285477928,4,4,78
2019-02-15,6.9,6.34,6.4,6.66,378366,3.293413173652704,0,-3.6144578313252906,3.416149068322971,353.888509015007,4,4,78
2019-02-14,6.8,6.56,6.66,6.8,74849,-1.449275362318847,3.4700315457413256,4.062499999999991,2.102102102102088,-80.21783141191334,4,4,78
2019-02-13,6.92,6.64,6.78,6.78,143432,1.764705882352935,1.2195121951219523,1.8018018018018056,-0.2941176470588225,91.62847867038973,4,4,78
2019-02-12,7.28,6.72,6.8,7.28,186923,5.202312138728327,1.2048192771084265,0.2949852507374562,7.374631268436582,30.321685537397514,4,4,78
2019-02-11,7.28,7,7.28,7.28,27391,0,4.166666666666674,7.058823529411762,0,-85.34637257052368,4,4,78
2019-02-08,7.4,7.12,7.28,7.4,31930,1.6483516483516425,1.7142857142857126,0,1.6483516483516425,16.57113650469133,4,4,78
2019-02-07,7.5,7.3,7.3,7.4,31056,1.3513513513513375,2.528089887640439,0.27472527472527375,0,-2.7372377074851184,4,4,78
2019-02-06,7.62,7.3,7.5,7.6,26588,1.6000000000000014,0,2.7397260273972712,2.7027027027026973,-14.386913961875326,4,4,78
2019-02-05,7.62,7.3,7.6,7.34,30383,0,0,1.3333333333333197,-3.421052631578947,14.273356401384074,4,4,78
2019-02-04,7.64,7.18,7.34,7.18,27300,0.2624671916010346,-1.6438356164383605,-3.421052631578947,-2.1798365122615793,-10.147121745713061,4,4,78
2019-02-01,7.68,6.92,7.18,7.68,272015,0.5235602094240788,-3.6211699164345412,-2.1798365122615793,6.9637883008356605,896.3919413919414,4,4,78
2019-01-31,8.14,7.52,7.68,8.12,109420,5.989583333333348,8.670520231213864,6.9637883008356605,5.729166666666652,-59.77427715383343,4,4,78
2019-01-30,8.24,7.4,8.1,7.66,151342,1.228501228501222,-1.5957446808510523,5.46875,-5.6650246305418595,38.312922683238895,4,4,78
2019-01-29,8,7.5,7.66,8,120916,-2.9126213592232997,1.3513513513513375,-5.432098765432092,4.438642297650119,-20.10413500548427,4,4,78
2019-01-28,8.4,7.58,7.8,8.06,157252,5.000000000000004,1.0666666666666602,1.8276762402088753,0.7500000000000062,30.050613649144854,4,4,78
2019-01-25,8.4,7.94,8.06,8,181259,0,4.74934036939314,3.3333333333333437,-0.7444168734491385,15.26657848548827,4,4,78
2019-01-24,8.14,7.4,7.94,7.6,168114,-3.0952380952380953,-6.801007556675065,-1.488833746898266,-5.000000000000004,-7.252053691127058,4,4,78
2019-01-23,7.8,7.04,7.48,7.2,181457,-4.176904176904184,-4.86486486486487,-5.793450881612094,-5.263157894736836,7.936876167362628,4,4,78
2019-01-22,7.4,6.5,7.2,6.5,167652,-5.128205128205121,-7.670454545454541,-3.7433155080213942,-9.722222222222221,-7.607863019889005,4,4,78
2019-01-21,6.58,6.34,6.5,6.36,23094,-11.081081081081079,-2.4615384615384595,-9.722222222222221,-2.1538461538461506,-86.22503757783981,4,4,78
2019-01-18,6.46,6.32,6.34,6.46,10669,-1.823708206686936,-0.3154574132492094,-2.4615384615384595,1.5723270440251458,-53.8018532952282,4,4,78
2019-01-17,6.48,6.28,6.46,6.38,16507,0.3095975232198178,-0.6329113924050667,1.8927444794952786,-1.2383900928792602,54.71928015746555,4,4,78
2019-01-16,6.46,6.18,6.38,6.18,6810,-0.30864197530865445,-1.5923566878981,-1.2383900928792602,-3.1347962382445194,-58.74477494396317,4,4,78
2019-01-15,6.38,6.2,6.36,6.36,28642,-1.2383900928792602,0.3236245954692629,-0.31347962382444194,2.912621359223322,320.5873715124817,4,4,78
2019-01-14,6.48,6.16,6.46,6.4,53788,1.5673981191222763,-0.6451612903225823,1.5723270440251458,0.6289308176100628,87.7941484533203,4,4,78
2019-01-11,6.66,6.2,6.42,6.6,85134,2.777777777777768,0.6493506493506551,-0.6191950464396245,3.124999999999978,58.27693909422176,4,4,78
2019-01-10,6.6,6.06,6.58,6.06,291823,-0.9009009009009028,-2.2580645161290436,2.492211838006231,-8.18181818181818,242.78079263279065,4,4,78
2019-01-09,6.18,5.98,6.06,6.14,43353,-6.36363636363636,-1.3201320132013028,-7.902735562310037,1.320132013201314,-85.14407706040991,4,4,78
2019-01-08,6.68,6,6.14,6.48,35277,8.090614886731395,0.33444816053511683,1.320132013201314,5.537459283387625,-18.62846861808871,4,4,78
2019-01-07,6.4,6,6.3,6.04,58577,-4.191616766467055,0,2.6058631921824116,-6.790123456790131,66.04870028630552,4,4,78
2019-01-04,6.16,5.8,5.96,6.1,49551,-3.749999999999998,-3.3333333333333326,-5.3968253968254,0.9933774834437026,-15.408778189391736,4,4,78
2019-01-03,6.1,5.78,6.1,5.78,33132,-0.9740259740259827,-0.34482758620688614,2.348993288590595,-5.245901639344252,-33.13555730459527,4,4,78
2019-01-02,5.98,5.62,5.9,5.96,25056,-1.967213114754085,-2.768166089965396,-3.2786885245901565,3.114186851211076,-24.37522636725824,4,4,78
2018-12-28,6.12,5.68,5.98,5.74,81737,2.341137123745818,1.0676156583629748,1.3559322033898313,-3.691275167785235,226.21727330779055,4,4,78
2018-12-27,6.24,5.74,5.74,6.14,202283,1.9607843137254832,1.0563380281690238,-4.013377926421413,6.9686411149825656,147.48033326400528,4,4,78
2018-12-21,6.6,6.18,6.26,6.6,63688,5.769230769230771,7.665505226480818,9.059233449477343,7.491856677524433,-68.51539674614277,4,4,78
2018-12-20,6.7,6.38,6.6,6.7,28152,1.5151515151515138,3.2362459546925626,5.4313099041533475,1.5151515151515138,-55.7970104258259,4,4,78
2018-12-19,6.86,6.7,6.8,6.78,14122,2.3880597014925398,5.0156739811912265,3.0303030303030276,1.1940298507462588,-49.83660130718954,4,4,78
2018-12-18,7.08,6.02,6.98,6.26,139887,3.206997084548102,-10.149253731343288,2.6470588235294246,-7.669616519174049,890.5608270783174,4,4,78
2018-12-17,6.38,6,6.26,6.22,89717,-9.887005649717517,-0.33222591362125353,-10.315186246418351,-0.6389776357827448,-35.864662191626095,4,4,78
2018-12-14,6.78,6.22,6.44,6.42,102247,6.269592476489039,3.6666666666666625,2.8753993610223683,3.2154340836012985,13.966137967163416,4,4,78
2018-12-13,6.9,6.2,6.6,6.32,160223,1.7699115044247815,-0.3215434083601254,2.4844720496894235,-1.5576323987538832,56.701908124443754,4,4,78
