date,open,high,low,close,vol,sma10,sma20,sma50,sma100,vwap,bbmid,bbUpper,bbLower,cci,roc,rsi
Mon Apr 06 2009 02:00:00 GMT+0200 (GMT+02:00),168.5,170.5,166,167.25,6202062,167.25,167.25,167.25,167.25,167.91666666666666,167.25,167.25,167.25,0,NaN,58.52842809364548
Tue Apr 07 2009 02:00:00 GMT+0200 (GMT+02:00),167.5,169.25,165.25,166.5,7355104,166.875,166.875,166.875,166.875,167.41935191322435,166.875,167.625,166.125,-66.6666666666646,NaN,57.333669354838705
Wed Apr 08 2009 02:00:00 GMT+0200 (GMT+02:00),164.5,169.5,164.25,169.5,5001402,167.75,167.75,167.75,167.75,167.5084592194829,167.75,170.2995097567964,165.2004902432036,35.00000000000218,NaN,60.78225231646471
Thu Apr 09 2009 02:00:00 GMT+0200 (GMT+02:00),170,170.5,168,170.5,1924916,168.4375,168.4375,168.4375,168.4375,167.71127471934625,168.4375,171.68509526419166,165.18990473580834,133.33333333333573,NaN,61.888060655790106
Tue Apr 14 2009 02:00:00 GMT+0200 (GMT+02:00),172.25,175.75,170.75,173.75,8406764,169.5,169.5,169.5,169.5,169.3714848922954,169.5,174.6478150704935,164.3521849295065,148.66434378629597,NaN,65.31141490950708
Wed Apr 15 2009 02:00:00 GMT+0200 (GMT+02:00),170.25,171.75,167.5,169,9178356,169.41666666666666,169.41666666666666,169.41666666666666,169.41666666666666,169.3823782365822,169.41666666666666,174.13071187457817,164.70262145875515,9.039548022599146,NaN,57.2214835035427
Thu Apr 16 2009 02:00:00 GMT+0200 (GMT+02:00),169,171,165.75,171,6688704,169.64285714285714,169.64285714285714,169.64285714285714,169.64285714285714,169.36259512450272,169.64285714285714,174.1456907178516,165.14002356786267,2.2489959839365743,NaN,59.49642470755972
Fri Apr 17 2009 02:00:00 GMT+0200 (GMT+02:00),170,171.5,167.25,168.5,8074618,169.5,169.5,169.5,169.5,169.31991388123916,169.5,173.77931069215592,165.22068930784408,-5.55555555555355,NaN,55.52174394929949
Mon Apr 20 2009 02:00:00 GMT+0200 (GMT+02:00),167.5,168,163,164.5,6833612,168.94444444444446,168.94444444444446,168.94444444444446,168.94444444444446,168.8442342685879,168.94444444444446,174.05857398793864,163.83031490095027,-150.3896103896104,NaN,49.79033854358528
Tue Apr 21 2009 02:00:00 GMT+0200 (GMT+02:00),165,167.5,163,166.75,5403238,168.725,168.725,168.725,168.725,168.5872925338773,168.725,173.75217614571108,163.6978238542889,-104.02576489532997,NaN,52.74528994690373
Wed Apr 22 2009 02:00:00 GMT+0200 (GMT+02:00),166,172.5,164.5,171.75,8343100,169.175,169,169,169,168.70049040385058,169,174.0990195135928,163.9009804864072,41.61833747583625,NaN,58.57912903559504
Thu Apr 23 2009 02:00:00 GMT+0200 (GMT+02:00),170,175.75,169.25,174.25,7598170,169.95,169.4375,169.4375,169.4375,169.1115701069964,169.4375,175.11686689546718,163.75813310453282,150.78665827564583,NaN,61.16098627017737
Fri Apr 24 2009 02:00:00 GMT+0200 (GMT+02:00),174.75,179.25,174,178,6107734,170.8,170.09615384615384,170.09615384615384,170.09615384615384,169.67046186591688,170.09615384615384,177.20935517439568,162.982952517912,216.48242630385533,NaN,64.71395900030635
Mon Apr 27 2009 02:00:00 GMT+0200 (GMT+02:00),176,181.75,176,181.25,5983302,171.875,170.89285714285714,170.89285714285714,170.89285714285714,170.31288525017717,170.89285714285714,179.8365586091614,161.9491556765529,197.8506179473415,NaN,67.48971469005112
Tue Apr 28 2009 02:00:00 GMT+0200 (GMT+02:00),177.75,179.5,176.25,176.5,8615826,172.15,171.26666666666668,171.26666666666668,171.26666666666668,170.91460374349302,171.26666666666668,180.34863904177325,162.1846942915601,123.83900928792636,5.530642750373692,60.054114893987375
Wed Apr 29 2009 02:00:00 GMT+0200 (GMT+02:00),176.5,181.25,175.5,180.5,5722916,173.3,171.84375,171.84375,171.84375,171.3497212960811,171.84375,181.70826183536215,161.97923816463785,129.70168612192018,8.408408408408409,63.682743447621874
Thu Apr 30 2009 02:00:00 GMT+0200 (GMT+02:00),182,184.25,180.75,181.25,3537280,174.325,172.39705882352942,172.39705882352942,172.39705882352942,171.6918440386887,172.39705882352942,182.94116621543512,161.85295143162372,149.84078461342514,6.932153392330384,64.33689085329603
Mon May 04 2009 02:00:00 GMT+0200 (GMT+02:00),183.5,187.25,182.5,187,8078944,176.175,173.20833333333334,173.20833333333334,173.20833333333334,172.63449723416545,173.20833333333334,185.44585532287184,160.97081134379485,168.17359855334564,9.67741935483871,68.95390158365689
